* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 11:06:00 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P3_20161208.eds
* Experiment Name = Nate_QDNA_P3_20161208
* Experiment Run End Time = 2016-12-08 18:55:57 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	SYBR
1	      A1	1	325,683.875
2	      A2	1	314,498.844
3	      A3	1	160,832.422
4	      A4	1	151,020.734
5	      A5	1	142,301.562
6	      A6	1	177,674.969
7	      A7	1	149,483.031
8	      A8	1	142,213.016
9	      A9	1	
10	      A10	1	
11	      A11	1	
12	      A12	1	
13	      B1	1	125,292.625
14	      B2	1	131,034.414
15	      B3	1	136,354.969
16	      B4	1	141,317.828
17	      B5	1	141,528.859
18	      B6	1	161,317.656
19	      B7	1	144,129.766
20	      B8	1	219,992.156
21	      B9	1	
22	      B10	1	
23	      B11	1	
24	      B12	1	
25	      C1	1	112,514.055
26	      C2	1	122,074.055
27	      C3	1	142,456.859
28	      C4	1	141,117.094
29	      C5	1	144,903.453
30	      C6	1	146,193.797
31	      C7	1	138,107.172
32	      C8	1	532,754.375
33	      C9	1	
34	      C10	1	
35	      C11	1	
36	      C12	1	
37	      D1	1	109,973.570
38	      D2	1	121,708.703
39	      D3	1	122,943.219
40	      D4	1	146,084.594
41	      D5	1	133,821.812
42	      D6	1	156,295.000
43	      D7	1	132,347.125
44	      D8	1	145,133.641
45	      D9	1	
46	      D10	1	
47	      D11	1	
48	      D12	1	
49	      E1	1	112,603.164
50	      E2	1	115,791.328
51	      E3	1	139,557.984
52	      E4	1	132,059.484
53	      E5	1	133,909.500
54	      E6	1	151,856.953
55	      E7	1	139,036.422
56	      E8	1	192,557.812
57	      E9	1	
58	      E10	1	
59	      E11	1	
60	      E12	1	
61	      F1	1	104,735.594
62	      F2	1	107,170.430
63	      F3	1	140,308.188
64	      F4	1	133,372.406
65	      F5	1	133,932.172
66	      F6	1	176,791.203
67	      F7	1	141,199.156
68	      F8	1	165,116.594
69	      F9	1	
70	      F10	1	
71	      F11	1	
72	      F12	1	
73	      G1	1	104,566.562
74	      G2	1	121,990.398
75	      G3	1	142,304.094
76	      G4	1	133,365.609
77	      G5	1	130,265.500
78	      G6	1	181,380.906
79	      G7	1	132,706.672
80	      G8	1	143,446.203
81	      G9	1	
82	      G10	1	
83	      G11	1	
84	      G12	1	
85	      H1	1	97,779.836
86	      H2	1	101,669.305
87	      H3	1	121,608.359
88	      H4	1	144,501.859
89	      H5	1	117,513.773
90	      H6	1	169,711.234
91	      H7	1	126,640.523
92	      H8	1	121,912.281
93	      H9	1	
94	      H10	1	
95	      H11	1	
96	      H12	1	
1	      A1	2	324,510.781
2	      A2	2	312,828.750
3	      A3	2	160,586.609
4	      A4	2	150,978.391
5	      A5	2	142,389.578
6	      A6	2	177,487.953
7	      A7	2	149,516.875
8	      A8	2	142,064.906
9	      A9	2	
10	      A10	2	
11	      A11	2	
12	      A12	2	
13	      B1	2	124,992.156
14	      B2	2	130,916.406
15	      B3	2	136,312.297
16	      B4	2	141,327.500
17	      B5	2	141,244.031
18	      B6	2	160,365.281
19	      B7	2	143,772.594
20	      B8	2	218,660.953
21	      B9	2	
22	      B10	2	
23	      B11	2	
24	      B12	2	
25	      C1	2	112,398.234
26	      C2	2	121,753.320
27	      C3	2	141,874.266
28	      C4	2	140,851.484
29	      C5	2	144,762.594
30	      C6	2	145,780.172
31	      C7	2	137,579.391
32	      C8	2	528,926.000
33	      C9	2	
34	      C10	2	
35	      C11	2	
36	      C12	2	
37	      D1	2	109,581.836
38	      D2	2	121,226.586
39	      D3	2	122,799.648
40	      D4	2	146,113.078
41	      D5	2	133,044.906
42	      D6	2	156,199.922
43	      D7	2	131,941.312
44	      D8	2	145,099.844
45	      D9	2	
46	      D10	2	
47	      D11	2	
48	      D12	2	
49	      E1	2	112,651.852
50	      E2	2	115,618.969
51	      E3	2	139,471.484
52	      E4	2	132,049.734
53	      E5	2	133,848.500
54	      E6	2	151,404.406
55	      E7	2	139,035.344
56	      E8	2	191,574.219
57	      E9	2	
58	      E10	2	
59	      E11	2	
60	      E12	2	
61	      F1	2	104,459.445
62	      F2	2	106,952.375
63	      F3	2	140,156.281
64	      F4	2	133,063.219
65	      F5	2	133,705.312
66	      F6	2	176,410.609
67	      F7	2	141,207.500
68	      F8	2	164,551.969
69	      F9	2	
70	      F10	2	
71	      F11	2	
72	      F12	2	
73	      G1	2	104,239.344
74	      G2	2	121,495.398
75	      G3	2	141,963.359
76	      G4	2	133,457.781
77	      G5	2	130,233.969
78	      G6	2	180,858.016
79	      G7	2	132,668.219
80	      G8	2	142,834.375
81	      G9	2	
82	      G10	2	
83	      G11	2	
84	      G12	2	
85	      H1	2	98,107.930
86	      H2	2	101,216.594
87	      H3	2	121,096.266
88	      H4	2	145,433.422
89	      H5	2	117,899.852
90	      H6	2	169,125.578
91	      H7	2	126,292.922
92	      H8	2	121,649.367
93	      H9	2	
94	      H10	2	
95	      H11	2	
96	      H12	2	
1	      A1	3	321,452.125
2	      A2	3	310,366.969
3	      A3	3	159,129.797
4	      A4	3	151,130.297
5	      A5	3	142,613.406
6	      A6	3	176,154.469
7	      A7	3	149,537.625
8	      A8	3	141,407.672
9	      A9	3	
10	      A10	3	
11	      A11	3	
12	      A12	3	
13	      B1	3	123,200.320
14	      B2	3	129,489.812
15	      B3	3	136,129.422
16	      B4	3	140,845.375
17	      B5	3	140,833.328
18	      B6	3	159,268.125
19	      B7	3	142,632.781
20	      B8	3	215,841.094
21	      B9	3	
22	      B10	3	
23	      B11	3	
24	      B12	3	
25	      C1	3	112,005.930
26	      C2	3	121,504.875
27	      C3	3	141,472.594
28	      C4	3	140,748.859
29	      C5	3	144,503.328
30	      C6	3	144,666.719
31	      C7	3	136,500.312
32	      C8	3	519,546.156
33	      C9	3	
34	      C10	3	
35	      C11	3	
36	      C12	3	
37	      D1	3	108,716.773
38	      D2	3	120,568.805
39	      D3	3	122,067.164
40	      D4	3	146,454.219
41	      D5	3	132,225.766
42	      D6	3	155,654.000
43	      D7	3	131,544.125
44	      D8	3	145,243.875
45	      D9	3	
46	      D10	3	
47	      D11	3	
48	      D12	3	
49	      E1	3	112,209.961
50	      E2	3	114,731.734
51	      E3	3	139,192.672
52	      E4	3	132,025.906
53	      E5	3	133,562.703
54	      E6	3	150,063.688
55	      E7	3	139,350.609
56	      E8	3	190,965.234
57	      E9	3	
58	      E10	3	
59	      E11	3	
60	      E12	3	
61	      F1	3	102,597.211
62	      F2	3	106,486.953
63	      F3	3	139,284.500
64	      F4	3	133,121.562
65	      F5	3	133,464.656
66	      F6	3	175,896.672
67	      F7	3	141,376.172
68	      F8	3	162,619.516
69	      F9	3	
70	      F10	3	
71	      F11	3	
72	      F12	3	
73	      G1	3	103,327.727
74	      G2	3	120,700.211
75	      G3	3	141,269.734
76	      G4	3	134,489.984
77	      G5	3	130,313.391
78	      G6	3	179,293.625
79	      G7	3	132,665.125
80	      G8	3	142,530.516
81	      G9	3	
82	      G10	3	
83	      G11	3	
84	      G12	3	
85	      H1	3	93,478.133
86	      H2	3	100,096.273
87	      H3	3	120,644.617
88	      H4	3	146,349.891
89	      H5	3	118,040.578
90	      H6	3	168,200.750
91	      H7	3	125,657.234
92	      H8	3	120,535.922
93	      H9	3	
94	      H10	3	
95	      H11	3	
96	      H12	3	
1	      A1	4	320,627.969
2	      A2	4	308,932.906
3	      A3	4	158,828.688
4	      A4	4	151,908.922
5	      A5	4	142,684.625
6	      A6	4	175,798.500
7	      A7	4	149,627.297
8	      A8	4	141,044.688
9	      A9	4	
10	      A10	4	
11	      A11	4	
12	      A12	4	
13	      B1	4	122,387.031
14	      B2	4	128,948.930
15	      B3	4	135,476.172
16	      B4	4	140,480.359
17	      B5	4	140,176.812
18	      B6	4	158,779.109
19	      B7	4	142,139.453
20	      B8	4	215,196.984
21	      B9	4	
22	      B10	4	
23	      B11	4	
24	      B12	4	
25	      C1	4	111,670.414
26	      C2	4	121,353.016
27	      C3	4	141,189.328
28	      C4	4	140,907.750
29	      C5	4	144,238.734
30	      C6	4	144,152.438
31	      C7	4	136,385.562
32	      C8	4	506,742.438
33	      C9	4	
34	      C10	4	
35	      C11	4	
36	      C12	4	
37	      D1	4	108,290.617
38	      D2	4	119,500.844
