* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:05:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_2_7_20161202.eds
* Experiment Name = ERCC_2_7_20161202
* Experiment Run End Time = 2016-12-02 13:58:48 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

3	A3	36	Target 1	9.433	8.730
3	A3	37	Target 1	9.466	8.763
3	A3	38	Target 1	9.492	8.789
3	A3	39	Target 1	9.530	8.828
3	A3	40	Target 1	9.548	8.845
4	A4	1	Target 1	0.681	-0.015
4	A4	2	Target 1	0.682	-0.014
4	A4	3	Target 1	0.689	-0.008
4	A4	4	Target 1	0.695	-0.001
4	A4	5	Target 1	0.706	0.009
4	A4	6	Target 1	0.723	0.026
4	A4	7	Target 1	0.754	0.057
4	A4	8	Target 1	0.813	0.116
4	A4	9	Target 1	0.920	0.224
4	A4	10	Target 1	1.111	0.414
4	A4	11	Target 1	1.431	0.734
4	A4	12	Target 1	1.906	1.210
4	A4	13	Target 1	2.529	1.832
4	A4	14	Target 1	3.241	2.545
4	A4	15	Target 1	3.981	3.284
4	A4	16	Target 1	4.692	3.995
4	A4	17	Target 1	5.345	4.648
4	A4	18	Target 1	5.939	5.242
4	A4	19	Target 1	6.462	5.766
4	A4	20	Target 1	6.908	6.212
4	A4	21	Target 1	7.292	6.595
4	A4	22	Target 1	7.618	6.921
4	A4	23	Target 1	7.900	7.203
4	A4	24	Target 1	8.137	7.441
4	A4	25	Target 1	8.334	7.638
4	A4	26	Target 1	8.497	7.801
4	A4	27	Target 1	8.647	7.951
4	A4	28	Target 1	8.774	8.077
4	A4	29	Target 1	8.872	8.175
4	A4	30	Target 1	8.955	8.258
4	A4	31	Target 1	9.025	8.329
4	A4	32	Target 1	9.092	8.395
4	A4	33	Target 1	9.151	8.454
4	A4	34	Target 1	9.197	8.500
4	A4	35	Target 1	9.233	8.536
4	A4	36	Target 1	9.272	8.576
4	A4	37	Target 1	9.308	8.612
4	A4	38	Target 1	9.337	8.640
4	A4	39	Target 1	9.376	8.679
4	A4	40	Target 1	9.392	8.695
5	A5	1	Target 1	0.651	-0.014
5	A5	2	Target 1	0.654	-0.011
5	A5	3	Target 1	0.658	-0.008
5	A5	4	Target 1	0.664	-0.002
5	A5	5	Target 1	0.675	0.010
5	A5	6	Target 1	0.696	0.030
5	A5	7	Target 1	0.728	0.062
5	A5	8	Target 1	0.784	0.119
5	A5	9	Target 1	0.888	0.223
5	A5	10	Target 1	1.073	0.408
5	A5	11	Target 1	1.383	0.717
5	A5	12	Target 1	1.849	1.184
5	A5	13	Target 1	2.457	1.791
5	A5	14	Target 1	3.153	2.488
5	A5	15	Target 1	3.877	3.211
5	A5	16	Target 1	4.578	3.912
5	A5	17	Target 1	5.216	4.551
5	A5	18	Target 1	5.797	5.131
5	A5	19	Target 1	6.313	5.648
5	A5	20	Target 1	6.756	6.090
5	A5	21	Target 1	7.129	6.464
5	A5	22	Target 1	7.454	6.789
5	A5	23	Target 1	7.736	7.070
5	A5	24	Target 1	7.974	7.309
5	A5	25	Target 1	8.173	7.508
5	A5	26	Target 1	8.342	7.677
5	A5	27	Target 1	8.481	7.815
5	A5	28	Target 1	8.593	7.928
5	A5	29	Target 1	8.695	8.029
5	A5	30	Target 1	8.785	8.119
5	A5	31	Target 1	8.859	8.194
5	A5	32	Target 1	8.923	8.257
5	A5	33	Target 1	8.975	8.310
5	A5	34	Target 1	9.020	8.355
5	A5	35	Target 1	9.063	8.398
5	A5	36	Target 1	9.108	8.443
5	A5	37	Target 1	9.150	8.484
5	A5	38	Target 1	9.175	8.510
5	A5	39	Target 1	9.198	8.533
5	A5	40	Target 1	9.218	8.552
6	A6	1	Target 1	0.655	-0.012
6	A6	2	Target 1	0.658	-0.009
6	A6	3	Target 1	0.661	-0.007
6	A6	4	Target 1	0.666	-0.002
6	A6	5	Target 1	0.676	0.009
6	A6	6	Target 1	0.693	0.025
6	A6	7	Target 1	0.722	0.055
6	A6	8	Target 1	0.778	0.110
6	A6	9	Target 1	0.877	0.209
6	A6	10	Target 1	1.051	0.383
6	A6	11	Target 1	1.345	0.677
6	A6	12	Target 1	1.788	1.120
6	A6	13	Target 1	2.374	1.707
6	A6	14	Target 1	3.052	2.385
6	A6	15	Target 1	3.764	3.096
6	A6	16	Target 1	4.455	3.788
6	A6	17	Target 1	5.090	4.422
6	A6	18	Target 1	5.660	4.992
6	A6	19	Target 1	6.182	5.514
6	A6	20	Target 1	6.630	5.963
6	A6	21	Target 1	7.020	6.353
6	A6	22	Target 1	7.350	6.683
6	A6	23	Target 1	7.632	6.964
6	A6	24	Target 1	7.869	7.202
6	A6	25	Target 1	8.071	7.403
6	A6	26	Target 1	8.243	7.575
6	A6	27	Target 1	8.396	7.729
6	A6	28	Target 1	8.519	7.851
6	A6	29	Target 1	8.620	7.953
6	A6	30	Target 1	8.699	8.032
6	A6	31	Target 1	8.775	8.107
6	A6	32	Target 1	8.842	8.175
6	A6	33	Target 1	8.903	8.235
6	A6	34	Target 1	8.955	8.288
6	A6	35	Target 1	8.990	8.323
6	A6	36	Target 1	9.038	8.371
6	A6	37	Target 1	9.066	8.399
6	A6	38	Target 1	9.087	8.420
6	A6	39	Target 1	9.126	8.459
6	A6	40	Target 1	9.150	8.482
7	A7	1	Target 1	1.876	-0.020
7	A7	2	Target 1	1.878	-0.018
7	A7	3	Target 1	1.887	-0.008
7	A7	4	Target 1	1.895	-0.001
7	A7	5	Target 1	1.905	0.010
7	A7	6	Target 1	1.928	0.032
7	A7	7	Target 1	1.960	0.064
7	A7	8	Target 1	2.028	0.132
7	A7	9	Target 1	2.155	0.259
7	A7	10	Target 1	2.379	0.483
7	A7	11	Target 1	2.742	0.846
7	A7	12	Target 1	3.249	1.353
7	A7	13	Target 1	3.864	1.969
7	A7	14	Target 1	4.526	2.630
7	A7	15	Target 1	5.161	3.265
7	A7	16	Target 1	5.747	3.851
7	A7	17	Target 1	6.272	4.376
7	A7	18	Target 1	6.715	4.819
7	A7	19	Target 1	7.093	5.197
7	A7	20	Target 1	7.400	5.504
7	A7	21	Target 1	7.646	5.750
7	A7	22	Target 1	7.845	5.949
7	A7	23	Target 1	8.008	6.112
7	A7	24	Target 1	8.128	6.232
7	A7	25	Target 1	8.218	6.323
7	A7	26	Target 1	8.301	6.405
7	A7	27	Target 1	8.369	6.473
7	A7	28	Target 1	8.430	6.534
7	A7	29	Target 1	8.475	6.579
7	A7	30	Target 1	8.521	6.625
7	A7	31	Target 1	8.571	6.675
7	A7	32	Target 1	8.615	6.719
7	A7	33	Target 1	8.645	6.749
7	A7	34	Target 1	8.677	6.782
7	A7	35	Target 1	8.710	6.814
7	A7	36	Target 1	8.748	6.852
7	A7	37	Target 1	8.778	6.882
7	A7	38	Target 1	8.802	6.906
7	A7	39	Target 1	8.823	6.928
7	A7	40	Target 1	8.838	6.942
8	A8	1	Target 1	1.858	-0.020
8	A8	2	Target 1	1.860	-0.018
8	A8	3	Target 1	1.869	-0.009
8	A8	4	Target 1	1.876	-0.002
8	A8	5	Target 1	1.890	0.012
8	A8	6	Target 1	1.914	0.036
8	A8	7	Target 1	1.957	0.078
8	A8	8	Target 1	2.033	0.155
8	A8	9	Target 1	2.180	0.301
8	A8	10	Target 1	2.438	0.559
8	A8	11	Target 1	2.841	0.963
8	A8	12	Target 1	3.394	1.516
8	A8	13	Target 1	4.048	2.170
8	A8	14	Target 1	4.723	2.845
8	A8	15	Target 1	5.363	3.484
8	A8	16	Target 1	5.936	4.058
8	A8	17	Target 1	6.445	4.566
8	A8	18	Target 1	6.881	5.003
8	A8	19	Target 1	7.244	5.365
8	A8	20	Target 1	7.533	5.655
8	A8	21	Target 1	7.762	5.884
8	A8	22	Target 1	7.939	6.060
8	A8	23	Target 1	8.083	6.204
8	A8	24	Target 1	8.207	6.329
8	A8	25	Target 1	8.302	6.424
8	A8	26	Target 1	8.380	6.501
8	A8	27	Target 1	8.439	6.561
8	A8	28	Target 1	8.492	6.614
8	A8	29	Target 1	8.544	6.666
8	A8	30	Target 1	8.584	6.706
8	A8	31	Target 1	8.631	6.753
8	A8	32	Target 1	8.675	6.797
8	A8	33	Target 1	8.703	6.825
8	A8	34	Target 1	8.734	6.856
8	A8	35	Target 1	8.767	6.889
8	A8	36	Target 1	8.807	6.929
8	A8	37	Target 1	8.843	6.965
8	A8	38	Target 1	8.868	6.990
8	A8	39	Target 1	8.889	7.011
8	A8	40	Target 1	8.909	7.031
9	A9	1	Target 1	1.916	-0.018
9	A9	2	Target 1	1.917	-0.017
9	A9	3	Target 1	1.923	-0.011
9	A9	4	Target 1	1.933	-0.001
9	A9	5	Target 1	1.947	0.012
9	A9	6	Target 1	1.971	0.036
9	A9	7	Target 1	2.015	0.081
9	A9	8	Target 1	2.100	0.166
9	A9	9	Target 1	2.258	0.323
9	A9	10	Target 1	2.527	0.592
9	A9	11	Target 1	2.949	1.014
9	A9	12	Target 1	3.506	1.572
9	A9	13	Target 1	4.146	2.212
9	A9	14	Target 1	4.809	2.874
9	A9	15	Target 1	5.432	3.497
9	A9	16	Target 1	5.990	4.056
9	A9	17	Target 1	6.483	4.548
9	A9	18	Target 1	6.905	4.970
9	A9	19	Target 1	7.256	5.322
9	A9	20	Target 1	7.546	5.612
9	A9	21	Target 1	7.775	5.840
9	A9	22	Target 1	7.955	6.021
9	A9	23	Target 1	8.093	6.159
9	A9	24	Target 1	8.210	6.275
9	A9	25	Target 1	8.306	6.371
9	A9	26	Target 1	8.380	6.445
9	A9	27	Target 1	8.448	6.513
9	A9	28	Target 1	8.505	6.571
9	A9	29	Target 1	8.556	6.621
9	A9	30	Target 1	8.600	6.666
9	A9	31	Target 1	8.637	6.703
9	A9	32	Target 1	8.672	6.738
9	A9	33	Target 1	8.706	6.772
9	A9	34	Target 1	8.741	6.807
9	A9	35	Target 1	8.775	6.841
9	A9	36	Target 1	8.810	6.876
9	A9	37	Target 1	8.848	6.913
9	A9	38	Target 1	8.875	6.941
9	A9	39	Target 1	8.901	6.966
9	A9	40	Target 1	8.918	6.984
10	A10	1	Target 1	1.933	-0.018
10	A10	2	Target 1	1.934	-0.018
10	A10	3	Target 1	1.943	-0.008
10	A10	4	Target 1	1.960	0.008
10	A10	5	Target 1	1.991	0.040
10	A10	6	Target 1	2.026	0.075
10	A10	7	Target 1	2.103	0.151
10	A10	8	Target 1	2.254	0.302
10	A10	9	Target 1	2.517	0.565
10	A10	10	Target 1	2.925	0.974
10	A10	11	Target 1	3.475	1.524
10	A10	12	Target 1	4.116	2.165
10	A10	13	Target 1	4.785	2.833
10	A10	14	Target 1	5.424	3.473
10	A10	15	Target 1	6.004	4.052
10	A10	16	Target 1	6.513	4.561
10	A10	17	Target 1	6.947	4.996
10	A10	18	Target 1	7.317	5.366
10	A10	19	Target 1	7.613	5.662
10	A10	20	Target 1	7.862	5.911
10	A10	21	Target 1	8.058	6.107
10	A10	22	Target 1	8.202	6.251
10	A10	23	Target 1	8.326	6.375
10	A10	24	Target 1	8.421	6.470
10	A10	25	Target 1	8.506	6.555
10	A10	26	Target 1	8.569	6.618
10	A10	27	Target 1	8.627	6.675
10	A10	28	Target 1	8.681	6.730
10	A10	29	Target 1	8.727	6.776
10	A10	30	Target 1	8.763	6.812
10	A10	31	Target 1	8.801	6.850
10	A10	32	Target 1	8.845	6.894
10	A10	33	Target 1	8.879	6.928
10	A10	34	Target 1	8.909	6.958
10	A10	35	Target 1	8.936	6.985
10	A10	36	Target 1	8.963	7.012
10	A10	37	Target 1	8.992	7.041
10	A10	38	Target 1	9.018	7.067
10	A10	39	Target 1	9.053	7.102
10	A10	40	Target 1	9.066	7.114
11	A11	1	Target 1	2.000	-0.020
11	A11	2	Target 1	2.002	-0.018
11	A11	3	Target 1	2.014	-0.006
11	A11	4	Target 1	2.026	0.006
11	A11	5	Target 1	2.052	0.032
11	A11	6	Target 1	2.098	0.078
11	A11	7	Target 1	2.182	0.163
11	A11	8	Target 1	2.342	0.322
11	A11	9	Target 1	2.617	0.598
11	A11	10	Target 1	3.038	1.018
11	A11	11	Target 1	3.600	1.580
11	A11	12	Target 1	4.251	2.231
11	A11	13	Target 1	4.918	2.898
11	A11	14	Target 1	5.552	3.532
11	A11	15	Target 1	6.128	4.108
11	A11	16	Target 1	6.634	4.614
11	A11	17	Target 1	7.061	5.041
11	A11	18	Target 1	7.426	5.406
11	A11	19	Target 1	7.725	5.706
11	A11	20	Target 1	7.968	5.949
11	A11	21	Target 1	8.173	6.153
11	A11	22	Target 1	8.321	6.301
11	A11	23	Target 1	8.423	6.403
11	A11	24	Target 1	8.517	6.497
11	A11	25	Target 1	8.601	6.581
11	A11	26	Target 1	8.671	6.651
11	A11	27	Target 1	8.720	6.700
11	A11	28	Target 1	8.780	6.760
11	A11	29	Target 1	8.823	6.803
11	A11	30	Target 1	8.868	6.848
11	A11	31	Target 1	8.909	6.890
11	A11	32	Target 1	8.947	6.927
11	A11	33	Target 1	8.982	6.962
11	A11	34	Target 1	9.015	6.995
11	A11	35	Target 1	9.044	7.024
11	A11	36	Target 1	9.074	7.054
11	A11	37	Target 1	9.104	7.084
11	A11	38	Target 1	9.125	7.105
11	A11	39	Target 1	9.158	7.139
11	A11	40	Target 1	9.176	7.156
12	A12	1	Target 1	2.048	-0.033
12	A12	2	Target 1	2.051	-0.030
12	A12	3	Target 1	2.067	-0.013
12	A12	4	Target 1	2.079	-0.002
12	A12	5	Target 1	2.096	0.015
12	A12	6	Target 1	2.127	0.046
12	A12	7	Target 1	2.185	0.105
12	A12	8	Target 1	2.294	0.213
12	A12	9	Target 1	2.490	0.410
12	A12	10	Target 1	2.821	0.740
12	A12	11	Target 1	3.304	1.224
12	A12	12	Target 1	3.921	1.840
12	A12	13	Target 1	4.607	2.526
12	A12	14	Target 1	5.288	3.208
12	A12	15	Target 1	5.919	3.838
12	A12	16	Target 1	6.490	4.410
12	A12	17	Target 1	6.984	4.903
12	A12	18	Target 1	7.403	5.322
12	A12	19	Target 1	7.749	5.668
12	A12	20	Target 1	8.024	5.944
12	A12	21	Target 1	8.247	6.167
12	A12	22	Target 1	8.425	6.345
12	A12	23	Target 1	8.559	6.479
12	A12	24	Target 1	8.672	6.591
12	A12	25	Target 1	8.768	6.687
12	A12	26	Target 1	8.843	6.762
12	A12	27	Target 1	8.898	6.817
12	A12	28	Target 1	8.959	6.879
12	A12	29	Target 1	9.010	6.929
12	A12	30	Target 1	9.063	6.983
12	A12	31	Target 1	9.106	7.025
12	A12	32	Target 1	9.142	7.061
12	A12	33	Target 1	9.173	7.093
12	A12	34	Target 1	9.206	7.126
12	A12	35	Target 1	9.235	7.155
12	A12	36	Target 1	9.280	7.200
12	A12	37	Target 1	9.315	7.234
12	A12	38	Target 1	9.335	7.255
12	A12	39	Target 1	9.360	7.279
12	A12	40	Target 1	9.371	7.291
13	B1	1	Target 1	0.692	0.006
13	B1	2	Target 1	0.695	0.004
13	B1	3	Target 1	0.696	0.002
13	B1	4	Target 1	0.697	-0.001
13	B1	5	Target 1	0.701	-0.001
13	B1	6	Target 1	0.706	-0.001
13	B1	7	Target 1	0.709	-0.001
13	B1	8	Target 1	0.716	0.002
13	B1	9	Target 1	0.729	0.010
13	B1	10	Target 1	0.754	0.032
