* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

3	A3	36	Target 1	8.246	6.771
3	A3	37	Target 1	8.271	6.797
3	A3	38	Target 1	8.290	6.816
3	A3	39	Target 1	8.304	6.830
3	A3	40	Target 1	8.321	6.847
4	A4	1	Target 1	1.453	-0.016
4	A4	2	Target 1	1.455	-0.014
4	A4	3	Target 1	1.459	-0.010
4	A4	4	Target 1	1.468	-0.001
4	A4	5	Target 1	1.480	0.012
4	A4	6	Target 1	1.497	0.028
4	A4	7	Target 1	1.531	0.062
4	A4	8	Target 1	1.589	0.120
4	A4	9	Target 1	1.691	0.222
4	A4	10	Target 1	1.879	0.410
4	A4	11	Target 1	2.190	0.721
4	A4	12	Target 1	2.647	1.178
4	A4	13	Target 1	3.233	1.764
4	A4	14	Target 1	3.887	2.418
4	A4	15	Target 1	4.546	3.077
4	A4	16	Target 1	5.165	3.697
4	A4	17	Target 1	5.712	4.243
4	A4	18	Target 1	6.168	4.699
4	A4	19	Target 1	6.537	5.068
4	A4	20	Target 1	6.840	5.371
4	A4	21	Target 1	7.076	5.607
4	A4	22	Target 1	7.260	5.791
4	A4	23	Target 1	7.411	5.942
4	A4	24	Target 1	7.530	6.062
4	A4	25	Target 1	7.617	6.148
4	A4	26	Target 1	7.687	6.218
4	A4	27	Target 1	7.750	6.281
4	A4	28	Target 1	7.798	6.329
4	A4	29	Target 1	7.844	6.375
4	A4	30	Target 1	7.881	6.413
4	A4	31	Target 1	7.914	6.445
4	A4	32	Target 1	7.950	6.481
4	A4	33	Target 1	7.989	6.520
4	A4	34	Target 1	8.025	6.556
4	A4	35	Target 1	8.054	6.585
4	A4	36	Target 1	8.075	6.607
4	A4	37	Target 1	8.094	6.625
4	A4	38	Target 1	8.118	6.649
4	A4	39	Target 1	8.144	6.676
4	A4	40	Target 1	8.165	6.696
5	A5	1	Target 1	1.420	-0.012
5	A5	2	Target 1	1.421	-0.011
5	A5	3	Target 1	1.424	-0.007
5	A5	4	Target 1	1.439	0.007
5	A5	5	Target 1	1.462	0.031
5	A5	6	Target 1	1.504	0.072
5	A5	7	Target 1	1.580	0.149
5	A5	8	Target 1	1.718	0.287
5	A5	9	Target 1	1.954	0.523
5	A5	10	Target 1	2.324	0.892
5	A5	11	Target 1	2.832	1.401
5	A5	12	Target 1	3.448	2.017
5	A5	13	Target 1	4.097	2.666
5	A5	14	Target 1	4.725	3.293
5	A5	15	Target 1	5.295	3.864
5	A5	16	Target 1	5.796	4.364
5	A5	17	Target 1	6.195	4.763
5	A5	18	Target 1	6.534	5.102
5	A5	19	Target 1	6.803	5.371
5	A5	20	Target 1	7.008	5.577
5	A5	21	Target 1	7.175	5.744
5	A5	22	Target 1	7.305	5.874
5	A5	23	Target 1	7.410	5.979
5	A5	24	Target 1	7.496	6.065
5	A5	25	Target 1	7.553	6.122
5	A5	26	Target 1	7.611	6.180
5	A5	27	Target 1	7.662	6.230
5	A5	28	Target 1	7.711	6.279
5	A5	29	Target 1	7.750	6.319
5	A5	30	Target 1	7.772	6.341
5	A5	31	Target 1	7.799	6.367
5	A5	32	Target 1	7.827	6.396
5	A5	33	Target 1	7.861	6.429
5	A5	34	Target 1	7.896	6.464
5	A5	35	Target 1	7.924	6.493
5	A5	36	Target 1	7.949	6.518
5	A5	37	Target 1	7.962	6.530
5	A5	38	Target 1	7.986	6.554
5	A5	39	Target 1	8.005	6.573
5	A5	40	Target 1	8.016	6.585
6	A6	1	Target 1	1.400	-0.021
6	A6	2	Target 1	1.400	-0.021
6	A6	3	Target 1	1.409	-0.012
6	A6	4	Target 1	1.421	-0.000
6	A6	5	Target 1	1.434	0.013
6	A6	6	Target 1	1.459	0.038
6	A6	7	Target 1	1.503	0.082
6	A6	8	Target 1	1.586	0.165
6	A6	9	Target 1	1.735	0.314
6	A6	10	Target 1	1.992	0.571
6	A6	11	Target 1	2.385	0.964
6	A6	12	Target 1	2.910	1.489
6	A6	13	Target 1	3.526	2.105
6	A6	14	Target 1	4.171	2.750
6	A6	15	Target 1	4.792	3.371
6	A6	16	Target 1	5.350	3.929
6	A6	17	Target 1	5.820	4.399
6	A6	18	Target 1	6.215	4.794
6	A6	19	Target 1	6.537	5.116
6	A6	20	Target 1	6.793	5.372
6	A6	21	Target 1	7.001	5.580
6	A6	22	Target 1	7.161	5.740
6	A6	23	Target 1	7.279	5.858
6	A6	24	Target 1	7.380	5.959
6	A6	25	Target 1	7.465	6.044
6	A6	26	Target 1	7.527	6.106
6	A6	27	Target 1	7.583	6.162
6	A6	28	Target 1	7.633	6.212
6	A6	29	Target 1	7.679	6.258
6	A6	30	Target 1	7.711	6.290
6	A6	31	Target 1	7.746	6.325
6	A6	32	Target 1	7.781	6.360
6	A6	33	Target 1	7.811	6.390
6	A6	34	Target 1	7.841	6.420
6	A6	35	Target 1	7.872	6.451
6	A6	36	Target 1	7.893	6.472
6	A6	37	Target 1	7.907	6.486
6	A6	38	Target 1	7.937	6.516
6	A6	39	Target 1	7.959	6.538
