* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:12 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC4_9_20161206.eds
* Experiment Name = ERCC4_9_20161206
* Experiment Run End Time = 2016-12-06 15:59:53 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
1	A1	1	Target 1	0.448	0.013
1	A1	2	Target 1	0.448	0.008
1	A1	3	Target 1	0.449	0.002
1	A1	4	Target 1	0.450	-0.002
1	A1	5	Target 1	0.455	-0.003
1	A1	6	Target 1	0.466	0.003
1	A1	7	Target 1	0.475	0.006
1	A1	8	Target 1	0.493	0.018
1	A1	9	Target 1	0.527	0.046
1	A1	10	Target 1	0.607	0.121
1	A1	11	Target 1	0.768	0.276
1	A1	12	Target 1	1.056	0.559
1	A1	13	Target 1	1.484	0.980
1	A1	14	Target 1	2.008	1.498
1	A1	15	Target 1	2.562	2.047
1	A1	16	Target 1	3.103	2.582
1	A1	17	Target 1	3.612	3.086
1	A1	18	Target 1	4.084	3.551
1	A1	19	Target 1	4.517	3.979
1	A1	20	Target 1	4.920	4.376
1	A1	21	Target 1	5.284	4.734
1	A1	22	Target 1	5.611	5.056
1	A1	23	Target 1	5.914	5.354
1	A1	24	Target 1	6.192	5.625
1	A1	25	Target 1	6.440	5.867
1	A1	26	Target 1	6.653	6.075
1	A1	27	Target 1	6.842	6.258
1	A1	28	Target 1	7.019	6.430
1	A1	29	Target 1	7.179	6.584
1	A1	30	Target 1	7.326	6.725
1	A1	31	Target 1	7.454	6.847
1	A1	32	Target 1	7.566	6.954
1	A1	33	Target 1	7.672	7.054
1	A1	34	Target 1	7.764	7.141
1	A1	35	Target 1	7.848	7.219
1	A1	36	Target 1	7.916	7.281
1	A1	37	Target 1	7.979	7.338
1	A1	38	Target 1	8.035	7.388
1	A1	39	Target 1	8.083	7.430
1	A1	40	Target 1	8.117	7.459
2	A2	1	Target 1	0.422	0.007
2	A2	2	Target 1	0.423	0.003
2	A2	3	Target 1	0.425	0.001
2	A2	4	Target 1	0.429	-0.000
2	A2	5	Target 1	0.432	-0.002
2	A2	6	Target 1	0.439	0.001
2	A2	7	Target 1	0.450	0.008
2	A2	8	Target 1	0.471	0.024
2	A2	9	Target 1	0.512	0.060
2	A2	10	Target 1	0.599	0.143
2	A2	11	Target 1	0.773	0.312
2	A2	12	Target 1	1.082	0.617
2	A2	13	Target 1	1.531	1.062
2	A2	14	Target 1	2.064	1.590
2	A2	15	Target 1	2.615	2.137
2	A2	16	Target 1	3.157	2.674
2	A2	17	Target 1	3.663	3.175
2	A2	18	Target 1	4.127	3.635
2	A2	19	Target 1	4.558	4.061
2	A2	20	Target 1	4.952	4.451
2	A2	21	Target 1	5.311	4.806
2	A2	22	Target 1	5.636	5.126
2	A2	23	Target 1	5.926	5.411
2	A2	24	Target 1	6.190	5.671
2	A2	25	Target 1	6.431	5.907
2	A2	26	Target 1	6.646	6.118
2	A2	27	Target 1	6.840	6.307
2	A2	28	Target 1	7.015	6.478
2	A2	29	Target 1	7.176	6.635
2	A2	30	Target 1	7.320	6.774
2	A2	31	Target 1	7.440	6.889
2	A2	32	Target 1	7.544	6.989
2	A2	33	Target 1	7.647	7.087
2	A2	34	Target 1	7.736	7.172
2	A2	35	Target 1	7.813	7.244
2	A2	36	Target 1	7.882	7.308
2	A2	37	Target 1	7.949	7.372
2	A2	38	Target 1	8.003	7.420
2	A2	39	Target 1	8.046	7.460
2	A2	40	Target 1	8.081	7.490
3	A3	1	Target 1	0.407	0.006
3	A3	2	Target 1	0.409	0.003
3	A3	3	Target 1	0.412	0.000
3	A3	4	Target 1	0.417	0.000
3	A3	5	Target 1	0.420	-0.001
3	A3	6	Target 1	0.428	0.001
3	A3	7	Target 1	0.438	0.006
3	A3	8	Target 1	0.459	0.021
3	A3	9	Target 1	0.497	0.055
3	A3	10	Target 1	0.584	0.136
3	A3	11	Target 1	0.759	0.306
3	A3	12	Target 1	1.069	0.611
3	A3	13	Target 1	1.515	1.052
3	A3	14	Target 1	2.045	1.577
3	A3	15	Target 1	2.591	2.117
3	A3	16	Target 1	3.118	2.639
3	A3	17	Target 1	3.619	3.135
3	A3	18	Target 1	4.087	3.598
3	A3	19	Target 1	4.512	4.018
3	A3	20	Target 1	4.902	4.402
3	A3	21	Target 1	5.256	4.752
3	A3	22	Target 1	5.575	5.065
3	A3	23	Target 1	5.866	5.351
3	A3	24	Target 1	6.130	5.609
3	A3	25	Target 1	6.367	5.842
3	A3	26	Target 1	6.581	6.050
3	A3	27	Target 1	6.779	6.243
3	A3	28	Target 1	6.951	6.410
3	A3	29	Target 1	7.092	6.546
3	A3	30	Target 1	7.224	6.673
3	A3	31	Target 1	7.354	6.798
3	A3	32	Target 1	7.469	6.907
3	A3	33	Target 1	7.568	7.001
3	A3	34	Target 1	7.658	7.086
3	A3	35	Target 1	7.741	7.164
3	A3	36	Target 1	7.807	7.225
3	A3	37	Target 1	7.868	7.280
3	A3	38	Target 1	7.934	7.341
3	A3	39	Target 1	7.984	7.386
3	A3	40	Target 1	8.016	7.413
4	A4	1	Target 1	0.402	-0.014
4	A4	2	Target 1	0.404	-0.012
4	A4	3	Target 1	0.411	-0.006
4	A4	4	Target 1	0.422	0.006
4	A4	5	Target 1	0.437	0.020
4	A4	6	Target 1	0.466	0.049
4	A4	7	Target 1	0.529	0.112
4	A4	8	Target 1	0.660	0.244
