* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-01 23:16:35 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P1_20161208.eds
* Experiment Name = Nate_QDNA_P1_20161208
* Experiment Run End Time = 2016-12-08 13:49:44 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	SYBR
92	      H8	2	118,339.539
93	      H9	2	
94	      H10	2	
95	      H11	2	
96	      H12	2	
1	      A1	3	311,431.406
2	      A2	3	289,680.875
3	      A3	3	169,263.031
4	      A4	3	155,899.281
5	      A5	3	157,076.578
6	      A6	3	209,829.047
7	      A7	3	154,520.172
8	      A8	3	144,325.344
9	      A9	3	
10	      A10	3	
11	      A11	3	
12	      A12	3	
13	      B1	3	121,974.695
14	      B2	3	120,036.641
15	      B3	3	151,396.375
16	      B4	3	158,799.641
17	      B5	3	220,291.859
18	      B6	3	143,689.156
19	      B7	3	141,570.250
20	      B8	3	274,282.156
21	      B9	3	
22	      B10	3	
23	      B11	3	
24	      B12	3	
25	      C1	3	111,349.531
26	      C2	3	107,233.164
27	      C3	3	135,519.312
28	      C4	3	141,521.500
29	      C5	3	140,807.141
30	      C6	3	144,009.625
31	      C7	3	141,368.906
32	      C8	3	859,363.250
33	      C9	3	
34	      C10	3	
35	      C11	3	
36	      C12	3	
37	      D1	3	106,401.641
38	      D2	3	118,811.539
39	      D3	3	122,640.094
40	      D4	3	138,233.578
41	      D5	3	131,407.391
42	      D6	3	148,778.594
43	      D7	3	157,332.922
44	      D8	3	140,161.797
45	      D9	3	
46	      D10	3	
47	      D11	3	
48	      D12	3	
49	      E1	3	111,411.711
50	      E2	3	111,413.180
51	      E3	3	134,091.875
52	      E4	3	355,020.094
53	      E5	3	135,982.188
54	      E6	3	199,408.609
55	      E7	3	133,435.312
56	      E8	3	285,633.719
57	      E9	3	
58	      E10	3	
59	      E11	3	
60	      E12	3	
61	      F1	3	101,648.016
62	      F2	3	104,439.531
63	      F3	3	167,398.922
64	      F4	3	168,644.516
65	      F5	3	135,554.000
66	      F6	3	178,873.984
67	      F7	3	132,047.172
68	      F8	3	211,338.844
69	      F9	3	
70	      F10	3	
71	      F11	3	
72	      F12	3	
73	      G1	3	103,231.742
74	      G2	3	112,278.125
75	      G3	3	139,809.156
76	      G4	3	138,622.906
77	      G5	3	130,150.914
78	      G6	3	175,553.500
79	      G7	3	128,338.742
80	      G8	3	177,500.156
81	      G9	3	
82	      G10	3	
83	      G11	3	
84	      G12	3	
85	      H1	3	93,515.977
86	      H2	3	99,408.055
87	      H3	3	125,347.422
88	      H4	3	144,518.609
89	      H5	3	126,411.078
90	      H6	3	170,219.594
91	      H7	3	114,677.969
92	      H8	3	117,471.469
93	      H9	3	
94	      H10	3	
95	      H11	3	
96	      H12	3	
1	      A1	4	310,676.969
2	      A2	4	289,865.344
3	      A3	4	169,054.875
4	      A4	4	157,274.000
5	      A5	4	156,137.812
6	      A6	4	208,977.172
7	      A7	4	153,841.641
8	      A8	4	143,390.188
9	      A9	4	
10	      A10	4	
11	      A11	4	
12	      A12	4	
13	      B1	4	121,457.797
14	      B2	4	118,415.336
15	      B3	4	150,679.625
16	      B4	4	158,501.719
17	      B5	4	220,338.969
18	      B6	4	142,765.844
19	      B7	4	140,713.328
20	      B8	4	276,145.281
21	      B9	4	
22	      B10	4	
23	      B11	4	
24	      B12	4	
25	      C1	4	110,829.539
26	      C2	4	106,716.086
27	      C3	4	135,491.219
28	      C4	4	142,237.516
29	      C5	4	140,829.219
30	      C6	4	143,561.359
31	      C7	4	141,003.500
32	      C8	4	859,519.875
33	      C9	4	
34	      C10	4	
35	      C11	4	
36	      C12	4	
37	      D1	4	106,407.914
38	      D2	4	118,324.484
39	      D3	4	122,415.016
40	      D4	4	138,429.781
41	      D5	4	132,045.141
42	      D6	4	147,451.047
43	      D7	4	157,069.797
44	      D8	4	139,208.859
45	      D9	4	
46	      D10	4	
47	      D11	4	
48	      D12	4	
49	      E1	4	110,013.844
50	      E2	4	111,555.984
51	      E3	4	133,853.656
52	      E4	4	356,434.438
53	      E5	4	136,141.516
54	      E6	4	199,320.219
55	      E7	4	132,854.828
56	      E8	4	286,257.594
57	      E9	4	
58	      E10	4	
59	      E11	4	
60	      E12	4	
61	      F1	4	101,447.398
62	      F2	4	104,053.641
63	      F3	4	167,200.188
64	      F4	4	169,971.984
65	      F5	4	135,503.172
66	      F6	4	178,458.094
67	      F7	4	131,464.875
68	      F8	4	210,344.766
69	      F9	4	
70	      F10	4	
71	      F11	4	
72	      F12	4	
73	      G1	4	102,994.719
74	      G2	4	111,992.508
75	      G3	4	139,537.766
76	      G4	4	139,619.984
77	      G5	4	130,070.648
78	      G6	4	175,691.844
79	      G7	4	127,832.422
80	      G8	4	178,339.250
81	      G9	4	
82	      G10	4	
83	      G11	4	
84	      G12	4	
85	      H1	4	93,350.398
86	      H2	4	98,446.727
87	      H3	4	125,141.289
88	      H4	4	145,373.281
89	      H5	4	126,314.422
90	      H6	4	170,017.578
91	      H7	4	114,035.617
92	      H8	4	116,743.305
93	      H9	4	
94	      H10	4	
95	      H11	4	
96	      H12	4	
1	      A1	5	310,607.250
2	      A2	5	290,088.875
3	      A3	5	169,360.312
4	      A4	5	158,685.922
5	      A5	5	155,104.219
6	      A6	5	208,994.875
7	      A7	5	149,748.922
8	      A8	5	142,750.672
9	      A9	5	
10	      A10	5	
11	      A11	5	
12	      A12	5	
13	      B1	5	120,660.805
14	      B2	5	116,754.469
15	      B3	5	150,587.562
16	      B4	5	157,812.703
17	      B5	5	220,349.688
18	      B6	5	141,421.875
19	      B7	5	140,716.844
20	      B8	5	277,242.719
21	      B9	5	
22	      B10	5	
23	      B11	5	
24	      B12	5	
25	      C1	5	110,010.344
26	      C2	5	106,112.906
27	      C3	5	135,805.172
28	      C4	5	142,451.156
29	      C5	5	141,944.484
30	      C6	5	142,515.484
31	      C7	5	140,636.312
32	      C8	5	862,144.625
33	      C9	5	
34	      C10	5	
35	      C11	5	
36	      C12	5	
37	      D1	5	105,940.602
38	      D2	5	117,335.211
39	      D3	5	122,165.812
40	      D4	5	139,150.281
41	      D5	5	132,385.016
42	      D6	5	147,131.172
43	      D7	5	156,641.656
44	      D8	5	138,709.312
45	      D9	5	
46	      D10	5	
47	      D11	5	
48	      D12	5	
49	      E1	5	109,111.836
50	      E2	5	110,902.336
51	      E3	5	133,339.484
52	      E4	5	342,894.500
53	      E5	5	136,379.562
54	      E6	5	199,993.844
55	      E7	5	132,701.266
56	      E8	5	288,659.438
57	      E9	5	
58	      E10	5	
59	      E11	5	
60	      E12	5	
61	      F1	5	101,035.836
62	      F2	5	103,308.875
63	      F3	5	167,497.750
64	      F4	5	171,971.641
65	      F5	5	135,649.500
66	      F6	5	178,490.516
67	      F7	5	131,361.953
68	      F8	5	210,219.875
69	      F9	5	
70	      F10	5	
71	      F11	5	
72	      F12	5	
73	      G1	5	102,551.406
74	      G2	5	111,310.562
75	      G3	5	139,289.375
76	      G4	5	141,904.219
77	      G5	5	130,236.703
78	      G6	5	174,880.938
79	      G7	5	126,861.758
80	      G8	5	180,684.719
81	      G9	5	
82	      G10	5	
83	      G11	5	
84	      G12	5	
85	      H1	5	93,394.930
86	      H2	5	98,005.609
87	      H3	5	125,874.430
88	      H4	5	147,178.438
89	      H5	5	126,287.828
90	      H6	5	169,910.000
91	      H7	5	112,888.367
92	      H8	5	116,458.766
93	      H9	5	
94	      H10	5	
95	      H11	5	
96	      H12	5	
1	      A1	6	312,831.781
2	      A2	6	292,658.531
3	      A3	6	170,202.875
4	      A4	6	160,862.172
5	      A5	6	154,685.781
6	      A6	6	210,048.328
7	      A7	6	148,836.859
8	      A8	6	141,460.312
9	      A9	6	
10	      A10	6	
11	      A11	6	
12	      A12	6	
13	      B1	6	120,483.055
14	      B2	6	116,827.289
15	      B3	6	150,917.766
16	      B4	6	158,188.938
17	      B5	6	220,360.500
18	      B6	6	141,284.594
19	      B7	6	141,471.719
20	      B8	6	280,189.875
21	      B9	6	
22	      B10	6	
23	      B11	6	
24	      B12	6	
25	      C1	6	108,339.086
26	      C2	6	105,558.422
27	      C3	6	136,034.375
28	      C4	6	142,819.547
29	      C5	6	142,975.688
30	      C6	6	142,562.922
31	      C7	6	140,686.312
32	      C8	6	871,702.562
33	      C9	6	
34	      C10	6	
35	      C11	6	
36	      C12	6	
37	      D1	6	105,435.172
38	      D2	6	116,837.766
39	      D3	6	121,773.102
40	      D4	6	139,925.016
41	      D5	6	132,039.234
42	      D6	6	147,143.250
43	      D7	6	155,483.000
44	      D8	6	138,163.891
45	      D9	6	
46	      D10	6	
47	      D11	6	
48	      D12	6	
49	      E1	6	108,716.086
50	      E2	6	110,673.680
51	      E3	6	133,387.109
52	      E4	6	330,722.188
53	      E5	6	136,404.797
54	      E6	6	199,989.328
55	      E7	6	132,711.672
56	      E8	6	294,486.406
57	      E9	6	
58	      E10	6	
59	      E11	6	
60	      E12	6	
61	      F1	6	100,520.570
62	      F2	6	103,046.961
63	      F3	6	167,773.078
64	      F4	6	174,380.766
65	      F5	6	136,521.484
66	      F6	6	178,694.688
67	      F7	6	131,629.953
68	      F8	6	210,286.812
69	      F9	6	
70	      F10	6	
71	      F11	6	
72	      F12	6	
73	      G1	6	101,831.625
74	      G2	6	111,041.555
75	      G3	6	139,340.703
