* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:01:23 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC5_10_20161206.eds
* Experiment Name = ERCC5_10_20161206
* Experiment Run End Time = 2016-12-06 17:44:20 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
73	      G1	1	531,011.188	51,529.336	39,087.559	451,052.812
74	      G2	1	543,436.438	47,770.539	44,754.305	471,997.062
75	      G3	1	553,120.312	44,438.957	51,305.426	492,158.938
76	      G4	1	598,912.000	44,639.445	57,279.840	529,108.500
77	      G5	1	595,223.688	42,607.754	62,386.926	537,216.375
78	      G6	1	597,650.062	41,195.555	63,359.113	536,785.062
79	      G7	1	654,833.375	48,584.562	61,750.754	525,124.500
80	      G8	1	675,706.625	52,026.098	62,913.141	541,182.750
81	      G9	1	660,320.875	52,968.223	58,271.121	519,776.531
82	      G10	1	703,400.000	60,733.176	56,736.816	539,684.188
83	      G11	1	642,172.938	60,535.941	47,716.906	488,293.688
84	      G12	1	629,747.688	67,985.984	42,643.258	460,101.875
85	      H1	1	475,553.219	48,122.848	32,745.602	388,928.812
86	      H2	1	503,576.750	46,431.488	38,228.273	426,426.219
87	      H3	1	527,798.125	45,322.801	44,116.266	461,756.938
88	      H4	1	556,500.625	45,090.000	50,640.133	476,260.406
89	      H5	1	561,367.312	43,635.461	53,516.980	496,264.812
90	      H6	1	556,004.500	42,235.070	54,002.184	490,016.344
91	      H7	1	637,834.562	50,937.840	54,713.348	494,239.438
92	      H8	1	664,772.875	54,258.488	55,758.168	515,414.469
93	      H9	1	648,186.500	56,265.270	51,729.828	500,000.375
94	      H10	1	644,073.375	59,553.625	47,931.535	481,582.000
95	      H11	1	606,535.438	59,813.859	41,163.688	443,307.094
96	      H12	1	591,755.000	68,299.125	36,928.473	428,134.250
1	      A1	2	577,144.438	60,954.871	39,697.531	465,567.156
2	      A2	2	579,090.000	51,339.203	42,665.902	490,145.438
3	      A3	2	599,000.125	48,284.812	48,309.180	503,544.875
4	      A4	2	648,391.688	50,141.258	56,251.906	545,245.438
5	      A5	2	638,144.438	46,257.129	57,858.922	550,407.688
6	      A6	2	656,407.125	47,993.926	61,866.535	570,288.750
7	      A7	2	774,861.562	59,764.637	64,028.574	598,739.938
8	      A8	2	734,741.062	58,334.410	61,521.879	574,015.688
9	      A9	2	762,431.188	64,264.320	60,604.621	577,701.750
10	      A10	2	763,757.000	68,228.344	56,093.465	564,001.812
11	      A11	2	770,604.062	76,757.367	51,852.109	539,582.688
12	      A12	2	714,182.188	80,241.977	44,717.480	501,783.625
13	      B1	2	536,687.250	50,735.750	40,390.598	447,984.688
14	      B2	2	532,116.750	45,895.516	43,981.840	462,719.656
15	      B3	2	592,242.125	45,864.664	51,921.348	521,397.406
16	      B4	2	630,785.562	44,277.551	59,488.637	554,426.750
17	      B5	2	639,999.750	44,730.457	63,458.578	569,313.375
18	      B6	2	645,377.938	43,759.324	66,774.023	580,174.250
19	      B7	2	752,270.062	54,220.277	68,677.961	598,268.125
20	      B8	2	705,207.250	52,542.340	63,006.184	567,592.312
21	      B9	2	750,925.375	58,506.848	64,007.293	591,273.188
22	      B10	2	742,495.500	62,680.773	58,394.020	567,588.375
23	      B11	2	717,594.625	66,140.211	50,827.156	534,145.375
24	      B12	2	684,854.062	72,427.672	44,277.457	504,638.844
25	      C1	2	564,784.812	51,863.500	43,536.715	473,338.094
26	      C2	2	585,252.688	47,860.805	49,937.410	498,477.531
27	      C3	2	596,129.625	44,059.938	55,545.020	528,434.688
28	      C4	2	648,808.312	44,171.934	65,291.859	576,028.250
29	      C5	2	675,638.250	44,562.816	72,024.531	608,667.750
30	      C6	2	634,003.312	41,007.469	70,515.367	577,122.125
31	      C7	2	745,703.000	51,502.875	72,605.500	603,502.750
32	      C8	2	809,295.562	58,089.145	78,273.461	648,921.188
33	      C9	2	770,125.562	58,045.395	70,949.617	616,809.750
34	      C10	2	771,299.500	62,296.391	64,526.430	598,775.125
35	      C11	2	768,388.875	68,079.734	57,413.961	576,508.438
36	      C12	2	727,816.438	73,084.195	49,666.371	532,797.125
37	      D1	2	552,451.812	48,798.105	42,084.840	468,529.625
38	      D2	2	563,740.938	45,679.965	48,265.117	485,726.062
39	      D3	2	572,304.875	40,979.562	54,494.535	509,307.312
40	      D4	2	626,087.562	43,282.586	64,992.059	558,064.500
41	      D5	2	630,795.875	41,301.488	69,845.430	570,889.062
42	      D6	2	654,347.000	42,314.980	75,862.133	599,645.688
43	      D7	2	771,795.625	52,282.910	78,152.273	624,127.312
44	      D8	2	785,539.938	56,092.133	77,091.352	629,286.188
45	      D9	2	720,258.125	53,391.914	68,792.805	583,089.938
46	      D10	2	777,646.125	61,773.539	66,239.734	602,722.250
47	      D11	2	734,146.188	65,490.555	57,728.793	559,034.812
48	      D12	2	700,991.000	68,081.383	48,580.984	521,366.969
49	      E1	2	549,661.500	48,766.305	42,272.789	468,223.750
50	      E2	2	574,622.812	46,162.398	51,186.020	503,915.969
51	      E3	2	626,483.062	45,889.969	61,355.969	553,464.500
52	      E4	2	610,880.688	41,311.605	64,263.910	554,586.125
53	      E5	2	627,569.000	41,240.512	70,442.555	569,672.688
54	      E6	2	674,666.625	42,765.168	78,320.266	615,828.062
55	      E7	2	721,606.000	50,265.645	74,217.062	583,909.062
56	      E8	2	731,452.250	52,068.875	73,821.812	591,300.625
57	      E9	2	757,748.875	55,943.176	71,962.211	603,883.500
58	      E10	2	766,716.500	61,119.383	68,215.562	598,804.812
59	      E11	2	735,466.875	64,646.180	57,900.195	552,231.312
60	      E12	2	689,137.188	66,785.867	48,736.191	513,251.500
61	      F1	2	523,588.000	46,786.812	39,826.078	444,913.125
62	      F2	2	525,893.250	43,386.695	46,347.895	457,297.344
63	      F3	2	570,740.000	42,976.984	54,768.605	508,462.031
64	      F4	2	593,265.500	41,772.996	61,209.633	530,046.000
65	      F5	2	662,735.812	44,276.746	70,712.133	587,701.688
66	      F6	2	654,773.000	43,539.461	73,931.445	593,479.688
67	      F7	2	691,490.500	48,833.168	69,378.953	561,006.625
68	      F8	2	700,693.000	51,543.316	67,997.883	558,922.125
69	      F9	2	727,015.750	55,883.648	66,860.391	571,781.125
70	      F10	2	699,464.750	57,821.469	59,102.484	540,057.312
71	      F11	2	672,463.938	60,766.055	51,572.961	509,381.312
72	      F12	2	654,204.375	67,003.445	45,227.344	486,105.500
73	      G1	2	508,113.000	48,870.969	36,733.379	425,576.500
74	      G2	2	548,927.625	48,044.219	44,134.906	471,973.438
75	      G3	2	556,111.500	45,000.785	50,933.113	492,668.344
76	      G4	2	602,963.812	44,652.379	57,059.691	527,040.188
77	      G5	2	600,622.938	42,824.508	62,330.793	538,530.625
78	      G6	2	600,611.375	41,367.977	63,701.008	538,208.188
79	      G7	2	661,246.375	49,204.438	62,037.500	528,847.438
80	      G8	2	682,601.625	52,169.680	63,282.793	544,150.500
81	      G9	2	667,825.375	53,554.312	57,895.750	521,059.781
82	      G10	2	714,435.125	61,199.238	57,380.023	543,261.312
83	      G11	2	651,199.312	60,959.164	47,247.160	488,989.156
84	      G12	2	633,950.688	68,491.609	42,691.316	461,108.625
85	      H1	2	477,069.219	48,879.605	32,903.230	388,418.562
86	      H2	2	502,919.906	47,566.520	38,572.406	426,178.844
87	      H3	2	529,244.062	45,941.621	44,376.215	461,341.812
88	      H4	2	558,905.125	45,651.508	50,909.285	476,708.469
89	      H5	2	568,182.375	43,699.070	53,839.172	497,789.750
90	      H6	2	560,042.000	42,115.559	53,834.871	490,316.594
91	      H7	2	638,828.500	51,390.027	54,684.594	493,440.062
92	      H8	2	677,540.062	55,720.266	56,593.559	522,792.094
93	      H9	2	653,664.000	56,905.574	51,826.035	500,997.375
94	      H10	2	649,854.375	59,897.430	47,963.949	482,563.500
95	      H11	2	608,509.875	60,837.426	40,937.805	444,714.156
96	      H12	2	597,751.375	68,623.695	36,918.316	430,892.312
1	      A1	3	570,056.875	59,791.648	39,224.652	456,864.375
2	      A2	3	580,184.750	52,430.969	43,171.125	488,896.031
3	      A3	3	598,345.938	47,985.707	48,466.453	501,840.344
4	      A4	3	653,459.188	49,599.379	56,637.180	544,668.688
5	      A5	3	640,201.500	46,375.262	58,427.766	550,935.312
6	      A6	3	660,808.688	47,740.375	62,210.215	571,263.625
7	      A7	3	779,038.625	59,896.809	64,692.582	597,938.562
8	      A8	3	742,310.938	58,524.273	61,873.492	574,830.062
9	      A9	3	765,588.125	64,153.520	60,138.691	576,220.188
10	      A10	3	767,972.188	68,514.539	56,121.297	565,286.250
11	      A11	3	776,698.500	77,355.617	51,433.879	537,858.750
12	      A12	3	718,363.375	80,568.109	44,695.832	499,759.438
13	      B1	3	534,635.812	50,991.816	40,207.305	446,894.094
14	      B2	3	532,260.312	46,355.758	44,266.105	461,716.125
15	      B3	3	594,900.688	46,296.223	52,143.098	522,842.094
16	      B4	3	630,941.438	44,710.020	59,429.426	551,760.875
17	      B5	3	639,082.438	44,733.555	63,068.996	563,825.812
18	      B6	3	649,872.562	44,148.586	67,093.102	581,441.312
19	      B7	3	756,676.750	54,690.906	68,394.984	597,989.250
20	      B8	3	708,009.375	52,384.273	63,164.727	566,487.188
21	      B9	3	754,973.375	59,416.500	64,711.203	592,384.188
22	      B10	3	745,794.125	63,471.332	58,042.750	566,804.375
23	      B11	3	723,580.625	66,412.273	51,217.930	534,943.500
24	      B12	3	685,103.500	72,088.750	44,396.203	502,735.438
25	      C1	3	561,741.125	51,900.512	43,400.508	470,643.750
26	      C2	3	588,229.938	48,788.320	50,110.367	499,153.781
27	      C3	3	598,558.938	44,427.246	56,059.191	530,274.750
28	      C4	3	651,282.812	44,725.285	65,180.238	576,145.312
29	      C5	3	682,126.000	45,722.715	72,292.641	609,641.312
30	      C6	3	639,813.562	41,928.219	71,273.594	579,461.938
31	      C7	3	746,312.938	51,867.465	73,306.117	602,962.500
32	      C8	3	814,909.375	58,550.016	78,131.656	648,152.750
33	      C9	3	776,035.500	58,716.168	71,567.195	618,485.500
34	      C10	3	776,935.875	63,107.301	65,050.156	600,155.438
35	      C11	3	773,386.750	68,434.172	58,173.711	576,591.688
36	      C12	3	730,099.312	73,296.531	50,059.336	532,053.812
37	      D1	3	552,345.938	49,027.477	42,417.523	467,302.188
38	      D2	3	565,511.125	45,239.699	48,499.578	484,974.531
39	      D3	3	574,869.312	41,749.539	54,732.777	509,297.375
40	      D4	3	629,431.625	42,912.242	65,466.699	559,449.750
41	      D5	3	637,673.562	41,868.633	70,630.922	572,628.438
42	      D6	3	656,775.688	42,509.559	75,798.148	601,800.312
43	      D7	3	776,072.688	52,935.102	78,457.617	622,459.312
44	      D8	3	786,671.875	56,200.195	76,945.844	626,359.312
45	      D9	3	728,987.875	54,405.371	68,904.141	585,444.250
46	      D10	3	778,978.625	61,834.719	66,149.305	600,307.250
47	      D11	3	738,237.062	65,783.703	58,061.793	559,783.625
48	      D12	3	702,384.062	67,723.953	48,647.395	519,924.969
49	      E1	3	547,645.562	48,541.652	42,248.266	465,990.156
50	      E2	3	575,531.375	46,156.863	50,896.031	502,204.719
51	      E3	3	630,305.125	46,344.285	61,118.016	555,242.188
52	      E4	3	613,020.812	41,537.062	64,567.938	555,917.000
53	      E5	3	635,574.938	41,668.414	70,404.898	571,543.000
54	      E6	3	677,489.562	43,135.945	78,084.469	615,161.750
55	      E7	3	730,504.250	50,949.578	74,430.023	585,368.562
56	      E8	3	729,837.812	51,662.832	73,079.789	589,639.250
57	      E9	3	755,653.062	56,113.672	71,355.617	600,528.375
58	      E10	3	774,711.750	61,771.691	68,756.891	600,022.625
59	      E11	3	746,435.000	65,629.086	57,673.578	554,586.938
60	      E12	3	692,184.000	67,349.797	47,889.707	511,848.344
61	      F1	3	523,740.719	46,864.281	39,667.668	442,570.656
62	      F2	3	530,706.000	43,412.883	46,273.547	458,346.344
63	      F3	3	570,986.938	43,009.242	54,861.434	507,799.469
64	      F4	3	597,173.562	42,805.594	61,056.223	530,611.688
65	      F5	3	670,985.000	44,995.961	70,886.211	588,244.062
66	      F6	3	659,979.750	44,108.379	73,937.664	592,496.625
67	      F7	3	696,964.500	49,438.965	69,716.727	561,802.062
68	      F8	3	709,782.188	52,351.082	68,469.172	560,120.562
69	      F9	3	728,110.625	56,453.637	67,019.469	569,372.062
70	      F10	3	703,335.500	58,283.250	59,423.031	540,557.062
71	      F11	3	677,860.375	61,631.777	51,820.570	509,955.438
72	      F12	3	656,274.750	67,337.008	45,192.613	485,175.219
73	      G1	3	508,673.625	48,704.059	36,761.441	424,896.125
74	      G2	3	546,405.750	47,801.352	44,423.738	467,861.031
75	      G3	3	558,513.188	44,817.070	51,163.344	492,197.125
76	      G4	3	607,258.875	44,424.930	57,058.652	527,447.375
77	      G5	3	606,710.562	43,411.488	62,906.348	539,909.250
78	      G6	3	604,443.125	41,448.383	63,563.121	539,279.125
79	      G7	3	666,883.312	49,496.488	61,771.664	529,095.312
80	      G8	3	688,623.562	52,516.867	63,542.566	542,766.062
81	      G9	3	669,132.625	53,951.289	58,358.438	518,828.781
82	      G10	3	719,591.188	61,879.918	57,810.660	544,658.938
83	      G11	3	651,902.312	61,533.340	47,725.488	489,103.125
84	      G12	3	636,660.750	68,775.602	42,670.414	460,496.312
85	      H1	3	475,971.219	48,639.539	32,381.828	384,775.906
86	      H2	3	505,368.688	47,482.262	38,755.441	425,723.969
87	      H3	3	528,676.000	45,597.449	43,851.168	459,765.062
88	      H4	3	564,577.125	46,080.113	50,606.895	476,022.531
89	      H5	3	572,989.812	43,953.867	53,931.609	498,455.562
90	      H6	3	564,443.312	42,776.809	53,994.211	490,562.938
91	      H7	3	644,233.750	51,837.016	54,618.164	494,013.531
92	      H8	3	681,315.562	56,246.246	56,805.836	523,468.875
93	      H9	3	648,081.875	56,484.973	51,318.910	495,660.500
94	      H10	3	653,571.000	60,419.699	47,650.777	482,612.219
95	      H11	3	613,330.938	60,970.363	41,185.145	445,239.375
96	      H12	3	600,207.500	69,061.461	36,937.074	429,954.438
1	      A1	4	574,056.375	61,133.059	39,233.508	457,532.375
2	      A2	4	586,472.750	52,296.863	43,192.668	489,080.188
3	      A3	4	601,532.062	48,495.398	48,485.547	500,824.469
4	      A4	4	662,249.938	50,863.914	56,652.684	544,679.062
5	      A5	4	642,345.500	46,616.930	58,286.957	547,348.375
6	      A6	4	665,911.812	48,363.113	62,160.410	571,306.188
7	      A7	4	782,396.625	60,076.586	64,320.645	598,019.938
