* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
73	      G1	1	668,781.688	65,769.492	36,470.336	429,725.656
74	      G2	1	708,628.938	63,149.738	44,900.496	470,236.062
75	      G3	1	738,263.625	60,048.340	52,550.617	500,378.219
76	      G4	1	774,526.625	57,688.492	57,142.219	528,796.125
77	      G5	1	806,583.688	57,453.297	64,157.996	554,649.438
78	      G6	1	796,965.312	55,329.441	64,911.398	554,142.688
79	      G7	1	883,553.812	63,931.758	62,767.402	535,202.125
80	      G8	1	889,947.750	65,689.156	62,874.957	542,732.438
81	      G9	1	888,119.438	68,717.688	57,746.867	533,587.625
82	      G10	1	916,859.750	77,089.742	55,959.152	540,230.875
83	      G11	1	854,322.250	79,111.922	48,380.645	502,303.812
84	      G12	1	816,247.812	85,373.148	41,264.598	463,939.531
85	      H1	1	631,416.000	66,023.203	33,959.500	395,166.125
86	      H2	1	660,442.000	62,349.273	39,211.664	428,349.406
87	      H3	1	683,302.750	59,092.508	44,924.383	458,064.062
88	      H4	1	732,601.250	60,452.961	52,832.598	492,611.094
89	      H5	1	727,809.375	55,850.910	52,151.293	489,039.312
90	      H6	1	733,639.938	55,004.809	54,114.301	498,519.781
91	      H7	1	829,538.125	107,694.602	65,047.176	496,490.812
92	      H8	1	869,684.562	130,674.438	70,162.344	520,047.469
93	      H9	1	861,733.125	124,032.180	64,411.863	513,017.656
94	      H10	1	813,901.750	73,427.742	46,328.578	474,089.375
95	      H11	1	812,046.875	79,986.633	42,372.152	467,652.312
96	      H12	1	806,922.188	91,957.594	38,960.301	460,485.719
1	      A1	2	781,018.250	81,659.453	40,764.523	480,529.594
2	      A2	2	761,910.500	69,195.961	43,380.633	489,666.594
3	      A3	2	787,354.938	63,876.938	49,294.637	506,034.031
4	      A4	2	839,306.438	170,136.859	79,497.688	542,995.000
5	      A5	2	854,648.812	158,828.281	80,812.219	563,810.625
6	      A6	2	867,701.375	147,056.922	81,598.742	579,922.188
7	      A7	2	964,127.312	73,028.273	62,229.785	571,111.562
8	      A8	2	957,336.562	73,304.602	61,136.289	570,632.062
9	      A9	2	982,718.000	79,906.891	60,173.738	578,741.750
10	      A10	2	962,344.250	83,289.188	54,275.289	556,515.188
11	      A11	2	958,003.625	92,437.203	49,798.699	535,857.688
12	      A12	2	970,407.500	104,551.117	46,100.230	507,521.781
13	      B1	2	725,067.188	69,729.461	39,923.109	460,372.031
14	      B2	2	682,755.000	58,266.383	41,907.168	454,289.500
15	      B3	2	779,915.625	59,416.066	51,885.629	524,874.438
16	      B4	2	836,003.688	59,345.887	60,201.895	563,085.125
17	      B5	2	843,973.062	58,503.672	63,979.207	575,961.562
18	      B6	2	856,865.562	57,882.125	67,226.117	588,532.625
19	      B7	2	982,702.500	68,965.867	68,490.602	598,377.375
20	      B8	2	939,300.375	66,729.625	63,886.199	576,908.688
21	      B9	2	991,029.938	75,091.281	64,125.914	599,448.375
22	      B10	2	962,141.062	79,578.430	58,147.324	565,941.688
23	      B11	2	953,900.250	87,684.195	53,701.805	543,854.875
24	      B12	2	873,359.875	88,889.570	42,884.121	497,434.625
