* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	OUTLIERRG	HIGHSD	CQCONF
25	C1	false		Target 1	STANDARD	FAM	NFQ-MGB	16.300	16.385	0.125	1,000.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	11	Amp			N	N	N
26	C2	false		Target 1	STANDARD	FAM	NFQ-MGB	16.488	16.385	0.125	1,000.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	10	Amp			N	N	N
27	C3	false		Target 1	STANDARD	FAM	NFQ-MGB	16.498	16.385	0.125	1,000.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	11	Amp			N	N	N
28	C4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.151	12.550	3.957	27,183.234			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
29	C5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.022	12.550	3.957	29,434.871			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
30	C6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.052	12.550	3.957	28,893.305			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
31	C7	false		Target 1	STANDARD	FAM	NFQ-MGB	16.187	16.385	0.125	1,000.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	10	Amp			N	N	N
32	C8	false		Target 1	STANDARD	FAM	NFQ-MGB	16.475	16.385	0.125	1,000.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	11	Amp			N	N	N
33	C9	false		Target 1	STANDARD	FAM	NFQ-MGB	16.365	16.385	0.125	1,000.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	11	Amp			N	N	N
34	C10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	12.263	12.550	3.957	13,703.744			27.716	0.998	-3.736	85.226	true	0.349	true	3	7	Amp			N	Y	N
35	C11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	12.300	12.550	3.957	13,394.711			27.716	0.998	-3.736	85.226	true	0.349	true	3	7	Amp			N	Y	N
