* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:05:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_2_7_20161202.eds
* Experiment Name = ERCC_2_7_20161202
* Experiment Run End Time = 2016-12-02 13:58:48 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
70	      F10	1	1,047,896.000	86,570.781	56,873.453	527,872.688
71	      F11	1	999,825.812	91,008.008	50,337.406	496,748.812
72	      F12	1	976,235.250	100,856.430	43,397.223	476,978.438
73	      G1	1	335,492.000	31,744.369	35,901.082	420,286.969
74	      G2	1	348,981.250	30,807.748	42,452.062	453,436.719
75	      G3	1	359,540.438	28,957.416	50,254.664	484,404.438
76	      G4	1	366,394.000	27,128.383	53,442.805	499,378.562
77	      G5	1	388,381.156	27,695.006	60,428.891	523,639.438
78	      G6	1	392,947.188	27,856.605	62,726.785	536,343.938
79	      G7	1	1,004,656.438	75,678.898	61,008.500	520,607.406
80	      G8	1	1,031,556.125	81,619.562	63,480.137	532,495.500
81	      G9	1	1,027,697.812	82,623.969	56,413.812	521,847.719
82	      G10	1	1,070,922.125	93,081.977	55,517.113	531,481.812
83	      G11	1	981,044.000	94,222.727	47,346.402	483,203.562
84	      G12	1	936,369.750	101,600.109	44,188.402	448,645.188
85	      H1	1	323,932.500	32,250.104	32,630.412	393,275.531
86	      H2	1	330,799.250	31,160.176	38,683.621	425,275.531
87	      H3	1	337,039.188	28,182.148	42,775.746	449,565.469
88	      H4	1	359,751.094	30,369.074	49,851.812	466,764.188
89	      H5	1	367,432.875	28,498.648	52,899.750	500,721.656
90	      H6	1	371,101.125	27,870.576	54,143.594	495,942.156
91	      H7	1	990,038.500	79,856.195	56,139.633	508,306.969
92	      H8	1	1,008,793.438	84,695.875	56,195.363	510,975.500
93	      H9	1	972,677.438	85,329.961	51,186.684	498,344.438
94	      H10	1	953,538.312	89,227.672	46,769.223	467,053.844
95	      H11	1	903,794.812	91,924.398	40,405.758	438,003.375
96	      H12	1	912,079.312	106,880.172	38,583.613	435,161.719
1	      A1	2	380,631.344	40,778.465	40,042.746	455,630.469
2	      A2	2	378,827.094	33,798.309	42,331.422	469,574.062
3	      A3	2	394,325.188	33,617.645	50,148.875	494,807.656
4	      A4	2	418,042.156	32,197.715	54,839.129	531,174.938
5	      A5	2	413,936.500	30,296.584	57,593.156	543,146.812
6	      A6	2	438,120.812	32,568.986	62,652.551	575,683.688
7	      A7	2	1,153,431.375	91,490.539	64,258.195	584,225.312
8	      A8	2	1,126,924.000	91,523.312	62,408.559	576,134.938
9	      A9	2	1,142,213.000	98,035.258	60,540.918	566,704.250
10	      A10	2	1,111,931.125	101,196.461	53,671.555	547,431.500
11	      A11	2	1,115,370.625	112,101.352	49,739.199	531,733.375
12	      A12	2	1,044,051.375	116,910.719	45,231.414	485,477.469
13	      B1	2	354,321.969	33,820.867	38,892.016	443,845.375
14	      B2	2	377,227.062	32,876.824	45,438.266	483,721.562
15	      B3	2	389,258.562	29,393.871	51,300.984	516,421.188
16	      B4	2	414,498.219	29,566.918	59,544.875	551,414.688
17	      B5	2	423,601.844	30,194.189	63,167.492	569,459.438
18	      B6	2	419,356.562	28,680.744	65,368.004	570,393.188
19	      B7	2	1,147,536.375	84,612.141	68,812.469	589,771.188
20	      B8	2	1,064,102.250	79,703.148	62,455.281	560,069.438
21	      B9	2	1,138,804.875	91,192.609	63,374.867	586,225.938
22	      B10	2	1,112,806.875	95,092.531	57,689.637	560,937.562
23	      B11	2	1,092,228.250	101,831.602	50,490.676	534,459.562
24	      B12	2	1,022,686.625	109,444.086	43,690.961	495,772.844
25	      C1	2	353,553.281	32,269.607	40,975.078	453,603.250
26	      C2	2	370,623.250	30,003.477	46,785.781	475,767.375
27	      C3	2	387,457.031	29,406.168	53,459.430	506,508.344
28	      C4	2	467,226.469	39,294.355	72,743.953	572,990.562
29	      C5	2	424,472.938	28,791.803	69,296.820	585,623.562
30	      C6	2	419,252.906	27,867.992	70,944.383	576,472.312
31	      C7	2	1,148,385.250	81,580.289	73,453.391	596,115.500
32	      C8	2	1,220,461.625	87,952.641	75,564.492	634,189.438
33	      C9	2	1,153,695.625	87,288.195	68,551.180	599,434.188
34	      C10	2	1,174,090.750	96,665.797	64,296.344	595,736.562
35	      C11	2	1,127,841.625	102,342.617	54,749.039	558,601.250
36	      C12	2	1,084,713.500	110,049.625	47,909.383	523,736.562
37	      D1	2	352,398.125	30,804.578	41,001.059	458,032.500
38	      D2	2	358,958.125	28,869.137	46,188.488	466,479.469
39	      D3	2	382,921.500	27,567.225	55,167.480	517,770.875
40	      D4	2	410,893.469	28,956.861	64,359.402	553,931.375
41	      D5	2	410,759.156	27,378.264	69,891.516	567,189.062
42	      D6	2	426,637.594	35,932.762	75,912.094	590,488.250
43	      D7	2	1,146,470.500	78,777.164	76,033.055	604,703.500
44	      D8	2	1,156,439.125	82,355.961	73,239.688	602,797.875
45	      D9	2	1,137,434.250	84,891.305	67,708.906	581,996.812
46	      D10	2	1,133,009.375	90,396.398	61,195.980	577,669.688
47	      D11	2	1,111,095.375	97,759.062	55,419.168	552,627.000
48	      D12	2	1,059,016.750	105,031.680	48,367.227	517,246.250
49	      E1	2	364,888.688	32,539.521	42,505.852	472,543.875
50	      E2	2	369,220.719	28,957.871	48,880.605	488,655.969
51	      E3	2	397,641.062	29,718.301	58,894.301	530,189.875
52	      E4	2	396,264.031	26,766.314	62,188.414	540,144.625
53	      E5	2	416,903.656	27,156.938	69,659.312	569,113.875
54	      E6	2	428,052.125	27,007.354	74,351.336	592,458.562
55	      E7	2	1,084,638.625	76,037.383	72,584.734	572,591.125
56	      E8	2	1,109,951.125	78,660.508	72,237.234	579,971.938
57	      E9	2	1,197,815.125	89,162.250	72,716.352	614,342.688
58	      E10	2	1,146,714.375	91,622.477	64,015.059	583,655.750
59	      E11	2	1,109,116.500	97,709.969	56,595.465	551,968.312
60	      E12	2	1,034,413.188	102,402.312	46,981.578	505,800.938
61	      F1	2	343,526.031	30,379.447	39,469.242	439,822.750
62	      F2	2	346,798.344	28,180.467	45,344.559	454,831.781
63	      F3	2	358,389.219	26,667.746	52,021.152	489,635.031
64	      F4	2	396,174.344	27,801.992	61,745.559	536,114.375
65	      F5	2	404,649.594	27,233.617	65,579.609	549,696.938
66	      F6	2	412,205.812	28,019.867	71,115.672	569,905.750
67	      F7	2	1,070,436.250	76,927.133	69,669.367	561,414.750
68	      F8	2	1,083,370.375	79,150.961	67,539.758	560,146.500
69	      F9	2	1,117,887.250	86,156.523	66,357.922	571,814.375
70	      F10	2	1,047,367.750	86,848.734	56,697.719	527,090.062
71	      F11	2	1,007,481.750	92,218.344	50,411.691	499,473.938
72	      F12	2	986,392.500	101,348.742	44,194.895	479,851.375
73	      G1	2	336,685.062	31,796.828	35,988.855	420,422.062
74	      G2	2	352,644.938	30,923.729	42,616.379	455,909.844
75	      G3	2	364,201.719	29,589.352	50,305.246	484,224.812
76	      G4	2	370,972.875	27,615.588	53,683.539	501,082.125
77	      G5	2	391,057.875	28,410.854	60,562.883	525,199.188
78	      G6	2	400,258.000	27,839.094	63,508.133	539,614.500
79	      G7	2	1,013,753.625	75,991.852	61,949.570	524,361.438
80	      G8	2	1,040,210.812	82,589.133	63,807.770	534,581.812
81	      G9	2	1,028,265.625	82,635.812	56,339.984	520,792.125
82	      G10	2	1,074,397.250	93,800.352	55,991.742	533,181.750
83	      G11	2	990,410.125	95,466.750	47,757.242	484,114.438
84	      G12	2	942,570.188	102,792.914	44,484.836	450,371.094
