* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-01 23:16:35 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P1_20161208.eds
* Experiment Name = Nate_QDNA_P1_20161208
* Experiment Run End Time = 2016-12-08 13:49:44 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
77	      G5	1	133,119.031	1,938.294	1,254.017	-635.739
78	      G6	1	179,415.562	1,461.179	613.290	-1,272.315
79	      G7	1	132,334.953	1,654.130	362.530	127.816
80	      G8	1	186,078.859	1,898.836	1,027.067	973.083
81	      G9	1	11,284.706	878.283	-454.548	1,701.984
82	      G10	1	14,809.367	1,308.414	1,039.962	1,502.548
83	      G11	1	15,725.456	2,144.469	637.389	290.476
84	      G12	1	34,611.051	4,648.103	2,324.356	1,780.982
85	      H1	1	97,738.891	1,025.910	938.726	1,728.731
86	      H2	1	103,826.422	1,542.541	552.114	1,151.819
87	      H3	1	120,469.109	1,076.757	-194.291	777.643
88	      H4	1	144,363.391	4,837.397	3,261.368	2,345.857
89	      H5	1	131,009.922	2,391.708	1,275.623	791.440
90	      H6	1	175,161.000	1,970.793	507.915	2,519.617
91	      H7	1	119,018.188	2,261.399	1,899.901	1,328.364
92	      H8	1	122,155.961	2,560.852	6,292.835	2,602.890
93	      H9	1	21,385.396	3,568.377	693.441	3,326.174
94	      H10	1	25,351.695	3,721.464	1,210.608	2,510.982
95	      H11	1	23,337.000	2,996.228	1,446.887	3,219.096
96	      H12	1	33,069.035	7,232.462	3,465.051	3,611.405
1	      A1	2	319,246.844	7,721.278	3,043.795	1,819.222
2	      A2	2	291,507.375	3,351.584	1,746.829	2,773.656
3	      A3	2	159,472.562	113,364.539	31,806.223	563.773
4	      A4	2	156,747.000	1,350.974	477.545	838.349
5	      A5	2	159,455.609	4,492.581	951.471	1,333.674
6	      A6	2	213,309.141	2,081.405	708.688	869.413
7	      A7	2	154,587.688	2,328.605	814.107	-430.830
8	      A8	2	147,940.609	2,769.811	698.423	1,076.182
9	      A9	2	42,730.094	4,789.195	2,648.719	5,603.634
10	      A10	2	35,134.832	3,093.092	1,946.088	3,215.220
11	      A11	2	64,991.012	7,904.012	4,190.659	7,101.261
12	      A12	2	37,836.488	4,039.949	2,941.475	4,306.161
13	      B1	2	126,467.898	2,121.691	2,210.183	2,234.541
14	      B2	2	121,624.875	2,037.613	242.098	1,736.327
15	      B3	2	154,651.922	1,715.897	-45.297	3,459.261
16	      B4	2	153,086.953	3,049.243	944.250	22.889
17	      B5	2	222,242.250	2,598.997	25.757	320.072
18	      B6	2	147,173.719	1,956.106	524.938	-47.996
19	      B7	2	145,082.250	1,537.889	455.345	1,117.543
20	      B8	2	273,689.938	2,274.713	-78.772	1,864.831
21	      B9	2	14,970.140	1,781.707	699.796	2,470.146
22	      B10	2	24,782.855	3,033.203	1,501.227	428.758
23	      B11	2	16,033.421	2,172.253	738.409	287.596
24	      B12	2	13,457.089	2,616.540	1,296.506	767.957
25	      C1	2	115,163.008	1,491.793	2,070.843	19.909
26	      C2	2	108,978.812	2,257.672	1,235.210	-378.826
27	      C3	2	137,411.719	2,914.597	1,463.770	2,372.419
28	      C4	2	142,152.859	1,609.431	867.276	1,403.409
29	      C5	2	142,957.938	2,293.881	1,028.425	3,316.133
30	      C6	2	145,508.812	3,135.750	2,141.652	1,156.542
31	      C7	2	144,667.469	1,446.800	609.773	188.634
32	      C8	2	880,318.000	20,461.930	890.672	275.840
33	      C9	2	10,820.477	1,480.466	767.752	2,024.176
34	      C10	2	11,614.332	1,223.903	864.252	1,845.941
35	      C11	2	12,041.568	1,140.678	61.606	845.689
36	      C12	2	16,666.254	2,111.029	1,256.214	1,392.085
37	      D1	2	109,916.156	808.161	30.386	-83.249
38	      D2	2	120,699.844	3,715.572	1,522.083	1,736.160
39	      D3	2	125,317.156	1,663.740	68.048	-1,445.021
40	      D4	2	138,793.844	2,576.774	374.499	890.736
41	      D5	2	134,128.062	1,486.228	755.090	-907.559
42	      D6	2	153,192.297	3,026.565	605.911	1,657.169
43	      D7	2	161,042.406	1,799.933	665.030	329.738
44	      D8	2	143,280.531	2,286.861	290.355	1,313.347
45	      D9	2	10,041.558	1,486.545	319.766	1,339.452
46	      D10	2	9,392.950	485.475	-2,556.492	1,422.120
47	      D11	2	11,630.422	2,134.498	569.892	1,444.838
48	      D12	2	16,700.930	1,518.089	1,831.253	2,292.215
49	      E1	2	113,156.383	998.665	599.796	1,045.609
50	      E2	2	114,610.984	620.896	762.761	1,211.837
51	      E3	2	136,382.406	3,108.820	1,907.926	1,959.711
52	      E4	2	331,110.812	4,688.195	76.085	217.282
53	      E5	2	137,954.797	1,889.713	291.487	1,351.062
54	      E6	2	202,031.297	1,571.897	335.997	94.630
55	      E7	2	134,916.938	1,985.089	592.560	2,009.460
56	      E8	2	290,017.656	2,187.607	425.747	1,176.639
57	      E9	2	6,907.333	889.465	627.322	1,126.679
58	      E10	2	30,767.195	3,142.473	1,073.792	-70.392
59	      E11	2	14,498.736	1,574.275	804.296	1,448.230
60	      E12	2	13,601.164	1,125.082	1,036.723	501.309
61	      F1	2	104,792.656	137.275	713.270	-105.653
62	      F2	2	107,705.664	988.490	1,203.020	-189.223
63	      F3	2	171,246.297	2,075.960	1,615.508	898.101
64	      F4	2	168,363.141	4,273.847	2,238.374	571.943
65	      F5	2	136,254.391	2,365.787	881.090	273.507
66	      F6	2	182,322.922	2,516.790	2,442.144	2,302.378
67	      F7	2	135,262.562	1,578.002	1,056.516	1,220.650
68	      F8	2	217,032.984	2,017.055	859.077	2,213.430
69	      F9	2	10,427.463	1,476.625	1,327.014	203.237
70	      F10	2	10,063.412	1,402.000	1,002.593	1,320.047
71	      F11	2	12,059.933	1,059.656	1,140.022	1,550.451
72	      F12	2	16,351.683	2,888.641	1,094.153	1,079.183
73	      G1	2	105,206.414	1,155.500	-396.834	-207.068
74	      G2	2	116,909.773	2,672.863	1,748.766	-738.337
75	      G3	2	140,847.266	2,364.405	1,655.549	1,484.196
76	      G4	2	138,814.125	1,223.850	-231.729	-330.383
77	      G5	2	131,874.203	1,752.831	1,281.982	-584.309
78	      G6	2	178,784.125	1,733.194	494.388	-930.261
79	      G7	2	129,901.859	1,832.864	-193.755	-336.920
80	      G8	2	181,345.438	2,040.968	1,064.861	777.022
81	      G9	2	10,300.288	1,634.612	-216.084	2,089.987
82	      G10	2	14,931.215	1,934.242	971.485	1,690.300
83	      G11	2	16,303.354	2,301.506	1,238.775	275.605
84	      G12	2	35,604.430	4,729.497	2,745.284	1,935.893
85	      H1	2	96,095.016	827.583	1,191.160	1,190.591
86	      H2	2	102,643.086	1,107.161	716.767	945.347
87	      H3	2	128,201.984	1,958.566	921.474	980.011
88	      H4	2	144,556.484	4,988.816	3,800.817	2,021.721
89	      H5	2	128,149.742	2,347.689	2,005.005	779.370
90	      H6	2	172,938.031	1,653.274	858.074	2,446.597
91	      H7	2	117,221.070	2,178.372	2,128.846	1,464.721
92	      H8	2	119,820.852	3,045.892	6,807.820	2,346.514
93	      H9	2	20,712.834	3,651.843	937.305	3,847.505
94	      H10	2	23,254.820	3,776.138	1,319.242	2,365.851
95	      H11	2	21,615.459	2,905.850	1,593.668	2,816.410
96	      H12	2	32,219.666	7,695.946	3,324.762	3,521.446
1	      A1	3	317,068.469	7,670.460	3,173.559	2,252.688
2	      A2	3	294,956.562	3,686.538	1,153.893	2,630.281
3	      A3	3	158,962.078	113,491.531	31,798.887	891.037
4	      A4	3	157,659.125	1,404.655	78.461	815.858
5	      A5	3	160,499.031	4,068.413	825.503	1,136.736
6	      A6	3	212,821.672	1,761.751	391.155	423.178
7	      A7	3	156,237.031	2,820.131	745.562	-458.404
8	      A8	3	146,860.859	2,635.612	581.586	963.255
9	      A9	3	44,279.133	5,127.548	2,387.687	5,538.240
10	      A10	3	37,568.676	3,509.955	1,679.762	3,384.043
11	      A11	3	66,793.836	7,800.060	3,821.373	7,088.289
12	      A12	3	38,340.453	4,213.387	2,562.230	3,772.919
13	      B1	3	124,962.586	2,090.623	1,906.051	2,292.413
14	      B2	3	122,079.570	2,285.698	105.254	1,766.069
15	      B3	3	153,342.641	1,876.176	-221.719	3,505.306
16	      B4	3	162,880.438	5,823.377	904.530	-125.202
17	      B5	3	222,344.656	2,500.256	-12.549	338.221
18	      B6	3	145,039.719	1,879.483	571.786	126.237
19	      B7	3	143,525.359	1,392.809	610.492	1,224.306
20	      B8	3	277,158.094	2,836.760	-357.178	1,461.273
21	      B9	3	15,332.012	1,948.448	451.649	2,237.003
22	      B10	3	24,225.768	2,949.927	1,554.382	415.073
23	      B11	3	15,579.271	2,147.049	779.330	266.312
24	      B12	3	14,244.628	3,153.083	1,010.586	360.920
25	      C1	3	114,229.688	2,338.945	1,520.256	373.381
26	      C2	3	110,223.289	2,484.462	1,203.046	-152.096
27	      C3	3	138,565.891	2,929.966	1,462.679	2,346.140
28	      C4	3	142,803.531	1,841.168	1,110.085	1,439.750
29	      C5	3	143,159.266	2,605.332	1,198.281	3,325.882
30	      C6	3	145,659.422	3,752.332	2,254.871	868.927
31	      C7	3	142,529.531	1,858.872	333.177	202.038
32	      C8	3	866,137.250	21,209.381	733.309	233.308
33	      C9	3	10,725.468	1,824.983	842.268	1,763.604
34	      C10	3	11,421.360	1,732.298	889.778	2,179.204
35	      C11	3	12,274.753	1,395.493	-85.191	673.001
36	      C12	3	16,167.897	2,258.718	1,409.291	1,301.589
37	      D1	3	108,002.758	1,625.947	568.585	124.688
38	      D2	3	120,037.719	4,213.747	1,667.297	1,621.170
39	      D3	3	124,465.773	1,037.126	129.205	-1,578.456
40	      D4	3	140,056.750	2,255.684	659.239	-28.513
41	      D5	3	132,294.281	2,013.815	349.507	-687.475
42	      D6	3	150,065.844	3,317.618	1,104.469	1,955.837
43	      D7	3	158,977.125	1,754.891	751.749	466.022
44	      D8	3	141,923.172	2,555.613	497.374	726.675
45	      D9	3	9,571.436	1,573.498	575.405	915.777
46	      D10	3	8,044.951	457.602	-2,351.779	982.305
47	      D11	3	12,158.751	2,502.518	630.879	1,037.968
48	      D12	3	16,267.605	1,754.320	1,745.978	2,330.312
49	      E1	3	114,740.203	1,441.371	350.169	1,569.432
50	      E2	3	112,827.016	856.502	492.885	1,559.687
51	      E3	3	135,445.172	3,528.936	2,215.292	2,178.453
52	      E4	3	363,976.188	5,328.451	-156.217	419.713
53	      E5	3	137,073.375	1,722.617	586.806	1,194.945
54	      E6	3	201,817.344	1,572.026	416.334	198.949
55	      E7	3	134,549.547	2,295.333	677.462	2,078.236
56	      E8	3	288,064.281	2,344.802	670.051	1,529.003
57	      E9	3	8,408.502	1,431.473	1,042.073	995.979
58	      E10	3	31,372.592	2,915.492	1,577.723	336.812
59	      E11	3	13,824.733	1,330.310	1,130.332	1,792.045
60	      E12	3	12,875.568	1,004.171	1,066.565	620.363
61	      F1	3	103,529.133	283.247	649.800	39.156
62	      F2	3	106,039.797	1,255.391	1,501.804	294.033
63	      F3	3	170,552.312	2,003.160	1,813.349	949.120
64	      F4	3	170,189.359	4,662.459	2,440.139	789.767
65	      F5	3	137,264.375	2,365.108	1,255.082	199.940
66	      F6	3	181,894.359	2,799.526	2,054.298	2,145.159
67	      F7	3	133,272.203	1,706.707	745.938	1,604.126
68	      F8	3	215,494.219	2,352.541	694.069	2,035.786
69	      F9	3	9,535.369	1,651.966	1,118.589	181.056
70	      F10	3	8,632.727	1,693.828	1,212.641	1,138.452
71	      F11	3	11,660.475	1,661.205	1,021.079	1,491.454
72	      F12	3	15,199.895	3,210.197	1,149.000	1,017.361
73	      G1	3	106,630.492	1,038.767	-162.852	-262.548
74	      G2	3	113,799.773	2,934.041	1,667.744	-746.554
75	      G3	3	141,843.609	2,098.570	1,211.800	1,479.787
76	      G4	3	140,417.609	1,359.486	-579.308	172.935
77	      G5	3	131,993.297	1,644.049	1,718.807	-214.400
78	      G6	3	177,152.453	1,863.197	481.422	-748.443
79	      G7	3	129,572.984	1,888.818	371.210	-236.247
