* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
21	      B9	2	586,110.812	912,176.938
22	      B10	2	562,867.438	899,060.562
23	      B11	2	531,976.188	878,481.312
24	      B12	2	495,562.938	819,724.875
25	      C1	2	462,570.781	666,868.188
26	      C2	2	493,826.969	706,281.812
27	      C3	2	532,580.062	729,017.000
28	      C4	2	574,767.438	786,932.000
29	      C5	2	597,620.812	799,602.438
30	      C6	2	584,312.750	777,682.562
31	      C7	2	592,660.812	900,628.750
32	      C8	2	628,251.438	958,331.000
33	      C9	2	602,039.812	924,330.625
34	      C10	2	592,302.688	932,379.750
35	      C11	2	559,245.000	901,616.438
36	      C12	2	526,984.062	876,819.062
37	      D1	2	457,792.812	653,314.188
38	      D2	2	477,764.156	674,355.625
39	      D3	2	511,815.188	707,578.688
40	      D4	2	559,314.250	756,913.125
41	      D5	2	573,894.438	764,545.750
42	      D6	2	605,706.062	798,989.625
43	      D7	2	600,541.562	903,356.500
44	      D8	2	609,948.750	935,069.250
45	      D9	2	601,276.938	914,216.500
46	      D10	2	584,718.500	915,447.188
47	      D11	2	554,947.688	892,630.375
48	      D12	2	520,031.656	854,460.938
49	      E1	2	479,142.781	679,985.688
50	      E2	2	495,751.719	692,247.875
51	      E3	2	549,024.250	771,937.062
52	      E4	2	562,129.750	748,287.000
53	      E5	2	577,623.688	772,466.562
54	      E6	2	617,191.812	813,833.688
55	      E7	2	573,518.250	866,864.875
56	      E8	2	586,022.312	890,300.312
57	      E9	2	617,816.375	962,224.812
58	      E10	2	584,429.812	921,792.812
59	      E11	2	549,088.000	878,086.500
60	      E12	2	519,564.031	850,404.000
61	      F1	2	442,956.375	635,300.062
62	      F2	2	465,944.625	651,751.062
63	      F3	2	518,697.250	709,510.750
64	      F4	2	525,202.312	710,427.938
65	      F5	2	570,083.438	761,372.625
66	      F6	2	577,996.312	763,624.062
67	      F7	2	562,726.125	853,451.000
68	      F8	2	568,470.438	872,733.312
69	      F9	2	562,011.375	874,310.125
70	      F10	2	542,978.312	863,464.062
71	      F11	2	526,377.812	842,327.500
72	      F12	2	489,958.031	806,365.750
73	      G1	2	428,137.312	622,137.062
74	      G2	2	470,176.750	661,747.750
75	      G3	2	496,119.438	684,128.062
