* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC3_8_20161206.eds
* Experiment Name = ERCC3_8_20161206
* Experiment Run End Time = 2016-12-06 14:12:41 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
1	      A1	1	470,414.969	687,203.062
2	      A2	1	486,729.562	672,538.125
3	      A3	1	508,589.688	702,652.688
4	      A4	1	553,162.875	758,370.938
5	      A5	1	566,215.625	762,178.562
6	      A6	1	596,637.812	796,151.938
7	      A7	1	588,371.312	592,243.062
8	      A8	1	579,800.938	581,495.062
9	      A9	1	596,914.875	609,383.500
10	      A10	1	565,246.125	593,664.875
11	      A11	1	557,344.438	609,698.375
12	      A12	1	519,465.500	595,076.875
13	      B1	1	469,070.625	661,693.688
14	      B2	1	464,883.562	623,544.938
15	      B3	1	534,729.875	714,768.188
16	      B4	1	565,085.062	747,156.312
17	      B5	1	582,194.250	762,956.812
18	      B6	1	587,711.000	760,731.688
19	      B7	1	596,346.625	580,824.438
20	      B8	1	575,501.500	550,427.562
21	      B9	1	594,797.062	576,821.938
22	      B10	1	578,459.750	585,601.438
23	      B11	1	552,473.125	575,279.250
24	      B12	1	509,661.000	537,362.000
25	      C1	1	468,802.906	646,849.250
26	      C2	1	530,144.562	727,044.938
27	      C3	1	528,682.062	690,494.812
28	      C4	1	582,544.188	760,050.938
29	      C5	1	620,492.688	797,189.500
30	      C6	1	594,200.500	756,627.812
31	      C7	1	604,496.062	580,187.438
32	      C8	1	635,008.062	610,996.438
33	      C9	1	622,019.000	602,170.875
34	      C10	1	598,418.062	596,459.688
35	      C11	1	573,173.062	586,717.562
36	      C12	1	543,743.875	579,810.250
37	      D1	1	474,293.281	644,675.000
38	      D2	1	477,476.906	642,870.812
39	      D3	1	513,510.094	678,324.500
40	      D4	1	568,518.750	738,668.875
41	      D5	1	591,750.750	756,963.062
42	      D6	1	619,418.562	782,367.938
43	      D7	1	624,208.438	593,508.000
44	      D8	1	618,756.688	596,562.250
45	      D9	1	603,290.438	603,102.625
46	      D10	1	594,200.250	585,874.188
47	      D11	1	568,868.938	581,179.875
48	      D12	1	535,107.500	563,847.562
49	      E1	1	471,325.656	651,947.312
50	      E2	1	506,828.531	680,252.312
51	      E3	1	554,638.875	734,322.938
52	      E4	1	570,307.812	733,560.188
53	      E5	1	581,690.312	745,650.562
54	      E6	1	608,837.000	764,580.938
55	      E7	1	592,581.188	567,092.000
56	      E8	1	603,225.875	577,256.375
57	      E9	1	619,193.688	605,439.562
58	      E10	1	603,281.438	598,250.500
59	      E11	1	559,444.812	574,788.062
60	      E12	1	527,614.062	548,793.062
61	      F1	1	450,099.250	632,175.875
62	      F2	1	469,044.062	635,224.750
63	      F3	1	517,085.500	681,740.500
64	      F4	1	542,155.500	716,688.812
65	      F5	1	560,989.500	722,448.188
66	      F6	1	594,821.250	751,145.812
67	      F7	1	578,597.750	551,818.875
68	      F8	1	563,374.812	546,270.875
69	      F9	1	582,815.938	574,988.188
70	      F10	1	544,821.938	553,257.938
71	      F11	1	527,388.375	539,538.688
72	      F12	1	502,167.406	523,177.656
73	      G1	1	436,870.969	613,395.312
74	      G2	1	474,622.906	644,141.438
75	      G3	1	502,437.875	658,123.125
76	      G4	1	528,616.562	700,963.938
77	      G5	1	543,488.938	706,668.812
78	      G6	1	546,214.438	704,076.000
79	      G7	1	536,601.875	519,966.469
80	      G8	1	551,660.312	537,864.000
81	      G9	1	537,133.688	538,364.875
82	      G10	1	552,597.125	569,906.812
83	      G11	1	501,478.062	519,550.062
84	      G12	1	471,977.281	502,046.406
85	      H1	1	394,920.406	579,795.688
86	      H2	1	431,754.938	585,649.562
87	      H3	1	457,239.469	613,578.375
88	      H4	1	477,828.562	646,784.125
89	      H5	1	508,290.281	681,104.312
90	      H6	1	496,749.219	657,663.312
91	      H7	1	498,831.000	495,431.531
92	      H8	1	529,776.250	528,472.938
93	      H9	1	500,766.500	502,739.906
94	      H10	1	494,281.719	520,974.625
95	      H11	1	455,615.406	489,351.188
96	      H12	1	444,531.531	477,300.188
1	      A1	2	469,451.375	686,774.875
2	      A2	2	486,637.469	672,647.188
3	      A3	2	508,956.406	703,540.812
4	      A4	2	552,653.000	758,843.500
5	      A5	2	566,022.312	762,429.375
6	      A6	2	592,533.688	792,274.125
7	      A7	2	588,274.125	592,663.375
8	      A8	2	581,159.188	583,503.688
9	      A9	2	597,019.250	609,650.938
10	      A10	2	564,947.312	593,463.062
11	      A11	2	556,758.875	609,858.312
12	      A12	2	518,365.469	595,036.500
13	      B1	2	468,569.594	661,178.875
14	      B2	2	464,926.500	623,635.312
15	      B3	2	533,744.688	714,915.438
16	      B4	2	565,165.000	747,435.312
17	      B5	2	582,331.188	764,615.750
18	      B6	2	588,456.875	762,632.312
19	      B7	2	597,102.125	581,076.688
20	      B8	2	576,166.562	551,344.312
21	      B9	2	596,371.625	578,712.875
22	      B10	2	578,791.812	586,839.938
23	      B11	2	551,680.562	576,478.312
24	      B12	2	510,523.531	539,725.562
25	      C1	2	469,982.219	650,049.875
26	      C2	2	529,291.812	726,220.812
27	      C3	2	530,094.562	693,776.562
28	      C4	2	579,700.188	757,952.812
29	      C5	2	620,307.562	797,777.562
30	      C6	2	595,723.375	758,966.562
31	      C7	2	605,651.938	582,335.750
32	      C8	2	637,020.062	613,865.312
33	      C9	2	623,421.000	603,882.125
34	      C10	2	600,205.812	598,272.250
35	      C11	2	574,180.125	589,313.750
36	      C12	2	543,958.062	581,728.062
37	      D1	2	468,542.875	638,250.438
38	      D2	2	478,375.406	644,748.062
39	      D3	2	508,723.000	672,018.000
40	      D4	2	568,087.625	739,507.875
41	      D5	2	591,981.062	758,697.125
42	      D6	2	619,947.312	783,963.188
43	      D7	2	624,416.062	594,677.188
44	      D8	2	620,552.875	599,263.938
45	      D9	2	600,727.188	602,630.250
46	      D10	2	595,747.938	588,327.812
47	      D11	2	569,666.000	582,732.812
48	      D12	2	530,558.688	561,444.250
49	      E1	2	470,501.062	651,981.562
50	      E2	2	507,595.875	682,380.062
51	      E3	2	555,578.188	737,941.375
52	      E4	2	566,902.938	731,152.750
53	      E5	2	583,131.812	748,639.312
54	      E6	2	610,485.125	768,586.625
55	      E7	2	593,685.312	568,648.875
56	      E8	2	604,167.438	578,665.938
57	      E9	2	620,387.000	608,052.312
58	      E10	2	603,277.500	599,085.062
59	      E11	2	560,490.125	576,501.000
60	      E12	2	527,737.562	550,394.812
61	      F1	2	449,458.594	633,744.375
62	      F2	2	468,388.906	635,360.625
63	      F3	2	517,518.688	683,823.938
64	      F4	2	542,001.875	719,508.812
65	      F5	2	562,212.188	726,111.812
66	      F6	2	595,150.375	753,440.250
67	      F7	2	580,114.438	553,590.875
68	      F8	2	564,737.688	548,876.062
69	      F9	2	584,128.875	577,308.375
70	      F10	2	546,122.312	555,755.938
71	      F11	2	527,464.438	540,628.812
72	      F12	2	502,920.812	525,185.562
73	      G1	2	432,797.250	609,296.188
74	      G2	2	474,574.500	644,456.750
75	      G3	2	502,373.250	659,540.125
76	      G4	2	526,567.625	700,701.000
77	      G5	2	544,402.750	708,288.062
78	      G6	2	547,335.125	707,196.562
79	      G7	2	537,952.000	521,802.062
80	      G8	2	552,403.438	539,937.250
81	      G9	2	536,696.625	538,949.938
82	      G10	2	554,126.688	572,163.562
83	      G11	2	502,015.469	521,904.844
84	      G12	2	468,535.312	499,358.250
85	      H1	2	395,207.750	581,855.188
86	      H2	2	432,630.406	589,365.062
87	      H3	2	456,647.875	615,423.938
88	      H4	2	477,873.062	648,214.875
89	      H5	2	508,691.531	682,846.750
90	      H6	2	496,607.031	657,984.125
91	      H7	2	498,905.938	495,847.219
92	      H8	2	530,609.875	530,695.562
93	      H9	2	501,862.938	504,307.844
94	      H10	2	493,875.500	520,899.344
95	      H11	2	456,143.219	491,001.531
96	      H12	2	441,357.438	475,896.594
1	      A1	3	467,786.844	687,143.000
2	      A2	3	486,646.000	674,226.500
3	      A3	3	509,266.719	707,809.875
4	      A4	3	552,308.125	761,274.188
