* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 10:36:32 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P2_20161208.eds
* Experiment Name = Nate_QDNA_P2_20161208
* Experiment Run End Time = 2016-12-08 16:33:54 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	SYBR
92	      H8	2	138,690.016
93	      H9	2	
94	      H10	2	
95	      H11	2	
96	      H12	2	
1	      A1	3	312,299.625
2	      A2	3	298,095.031
3	      A3	3	172,496.406
4	      A4	3	151,221.266
5	      A5	3	146,063.000
6	      A6	3	192,353.969
7	      A7	3	163,563.156
8	      A8	3	144,125.641
9	      A9	3	
10	      A10	3	
11	      A11	3	
12	      A12	3	
13	      B1	3	145,775.922
14	      B2	3	126,228.938
15	      B3	3	136,233.047
16	      B4	3	137,293.359
17	      B5	3	144,777.609
18	      B6	3	194,231.391
19	      B7	3	139,729.188
20	      B8	3	233,634.781
21	      B9	3	
22	      B10	3	
23	      B11	3	
24	      B12	3	
25	      C1	3	112,939.734
26	      C2	3	122,201.867
27	      C3	3	137,580.141
28	      C4	3	140,763.297
29	      C5	3	139,585.047
30	      C6	3	138,469.797
31	      C7	3	136,188.234
32	      C8	3	198,896.984
33	      C9	3	
34	      C10	3	
35	      C11	3	
36	      C12	3	
37	      D1	3	110,782.812
38	      D2	3	120,734.203
39	      D3	3	124,563.125
40	      D4	3	141,928.922
41	      D5	3	133,827.141
42	      D6	3	151,903.094
43	      D7	3	134,997.984
44	      D8	3	137,378.656
45	      D9	3	
46	      D10	3	
47	      D11	3	
48	      D12	3	
49	      E1	3	112,955.344
50	      E2	3	113,812.828
51	      E3	3	137,140.734
52	      E4	3	132,739.219
53	      E5	3	132,146.703
54	      E6	3	152,577.328
55	      E7	3	136,982.531
56	      E8	3	249,912.500
57	      E9	3	
58	      E10	3	
59	      E11	3	
60	      E12	3	
61	      F1	3	103,864.070
62	      F2	3	105,702.156
63	      F3	3	142,772.875
64	      F4	3	133,069.078
65	      F5	3	134,254.953
66	      F6	3	173,432.766
67	      F7	3	130,585.000
68	      F8	3	178,405.297
69	      F9	3	
70	      F10	3	
71	      F11	3	
72	      F12	3	
73	      G1	3	103,384.898
74	      G2	3	110,282.734
75	      G3	3	137,392.609
76	      G4	3	130,347.383
77	      G5	3	131,648.797
78	      G6	3	179,538.172
79	      G7	3	132,787.250
80	      G8	3	187,936.719
81	      G9	3	
82	      G10	3	
83	      G11	3	
84	      G12	3	
85	      H1	3	99,484.508
86	      H2	3	101,237.859
87	      H3	3	126,296.273
88	      H4	3	144,652.438
89	      H5	3	119,277.734
90	      H6	3	167,741.281
91	      H7	3	126,142.711
92	      H8	3	136,633.875
93	      H9	3	
94	      H10	3	
95	      H11	3	
96	      H12	3	
1	      A1	4	312,703.219
2	      A2	4	298,054.094
3	      A3	4	172,445.141
4	      A4	4	151,533.469
5	      A5	4	145,957.375
6	      A6	4	191,007.156
7	      A7	4	164,719.750
8	      A8	4	144,293.266
9	      A9	4	
10	      A10	4	
11	      A11	4	
12	      A12	4	
13	      B1	4	144,344.672
14	      B2	4	126,045.016
15	      B3	4	135,203.062
16	      B4	4	137,416.969
17	      B5	4	144,316.078
18	      B6	4	192,889.203
19	      B7	4	139,240.844
20	      B8	4	233,184.344
21	      B9	4	
22	      B10	4	
23	      B11	4	
24	      B12	4	
25	      C1	4	113,134.820
26	      C2	4	122,201.703
27	      C3	4	136,842.562
28	      C4	4	141,061.906
29	      C5	4	139,565.766
30	      C6	4	137,510.328
31	      C7	4	136,001.453
32	      C8	4	202,680.312
33	      C9	4	
34	      C10	4	
35	      C11	4	
36	      C12	4	
37	      D1	4	109,785.234
38	      D2	4	120,653.133
39	      D3	4	123,408.938
40	      D4	4	141,475.406
41	      D5	4	133,707.438
42	      D6	4	150,776.500
43	      D7	4	134,827.516
44	      D8	4	136,401.031
45	      D9	4	
46	      D10	4	
47	      D11	4	
48	      D12	4	
49	      E1	4	111,681.625
50	      E2	4	113,605.812
51	      E3	4	136,923.828
52	      E4	4	132,568.672
53	      E5	4	131,985.734
54	      E6	4	151,709.438
55	      E7	4	141,778.781
56	      E8	4	251,368.609
57	      E9	4	
58	      E10	4	
59	      E11	4	
60	      E12	4	
61	      F1	4	103,541.250
62	      F2	4	105,412.508
63	      F3	4	142,056.203
64	      F4	4	133,994.156
65	      F5	4	134,240.734
66	      F6	4	172,294.734
67	      F7	4	130,458.711
68	      F8	4	177,443.812
69	      F9	4	
70	      F10	4	
71	      F11	4	
72	      F12	4	
73	      G1	4	102,495.266
74	      G2	4	110,247.414
75	      G3	4	137,772.156
76	      G4	4	131,523.938
77	      G5	4	131,419.047
78	      G6	4	178,995.719
79	      G7	4	132,302.328
80	      G8	4	188,710.266
81	      G9	4	
82	      G10	4	
83	      G11	4	
84	      G12	4	
85	      H1	4	98,785.711
86	      H2	4	100,748.070
87	      H3	4	125,158.648
88	      H4	4	144,955.422
89	      H5	4	119,670.539
90	      H6	4	166,817.375
91	      H7	4	125,974.734
92	      H8	4	135,200.219
93	      H9	4	
94	      H10	4	
95	      H11	4	
96	      H12	4	
1	      A1	5	312,707.969
2	      A2	5	299,375.969
3	      A3	5	172,555.875
4	      A4	5	152,676.281
5	      A5	5	146,693.328
6	      A6	5	190,981.781
7	      A7	5	164,247.969
8	      A8	5	144,575.047
9	      A9	5	
10	      A10	5	
11	      A11	5	
12	      A12	5	
13	      B1	5	143,800.141
14	      B2	5	124,651.938
15	      B3	5	134,943.438
16	      B4	5	138,079.000
17	      B5	5	143,333.812
18	      B6	5	190,805.391
19	      B7	5	138,291.969
20	      B8	5	233,110.188
21	      B9	5	
22	      B10	5	
23	      B11	5	
24	      B12	5	
25	      C1	5	112,012.305
26	      C2	5	122,710.969
27	      C3	5	136,589.781
28	      C4	5	141,141.281
29	      C5	5	140,152.719
30	      C6	5	137,436.828
31	      C7	5	135,908.719
32	      C8	5	208,567.984
33	      C9	5	
34	      C10	5	
35	      C11	5	
36	      C12	5	
37	      D1	5	108,650.953
38	      D2	5	120,553.484
39	      D3	5	123,133.336
40	      D4	5	141,467.234
41	      D5	5	133,939.625
42	      D6	5	150,676.453
43	      D7	5	133,482.844
44	      D8	5	136,132.000
45	      D9	5	
46	      D10	5	
47	      D11	5	
48	      D12	5	
49	      E1	5	110,736.109
50	      E2	5	112,758.414
51	      E3	5	137,011.125
52	      E4	5	133,053.734
53	      E5	5	131,934.188
54	      E6	5	151,250.891
55	      E7	5	142,493.609
56	      E8	5	253,350.828
57	      E9	5	
58	      E10	5	
59	      E11	5	
60	      E12	5	
61	      F1	5	103,647.602
62	      F2	5	105,587.320
63	      F3	5	141,407.391
64	      F4	5	134,986.609
65	      F5	5	134,244.812
66	      F6	5	171,570.375
67	      F7	5	129,585.828
68	      F8	5	176,612.750
69	      F9	5	
70	      F10	5	
71	      F11	5	
72	      F12	5	
73	      G1	5	102,196.781
74	      G2	5	109,384.656
75	      G3	5	137,441.203
76	      G4	5	132,048.328
77	      G5	5	131,316.750
78	      G6	5	178,104.547
79	      G7	5	132,079.453
80	      G8	5	190,823.594
81	      G9	5	
82	      G10	5	
83	      G11	5	
84	      G12	5	
85	      H1	5	98,392.305
86	      H2	5	100,144.508
87	      H3	5	124,506.664
88	      H4	5	146,170.516
89	      H5	5	119,585.555
90	      H6	5	166,767.578
91	      H7	5	125,623.547
92	      H8	5	134,321.109
93	      H9	5	
94	      H10	5	
95	      H11	5	
96	      H12	5	
1	      A1	6	313,820.969
2	      A2	6	302,402.812
3	      A3	6	172,900.734
4	      A4	6	153,544.609
5	      A5	6	146,819.141
6	      A6	6	191,937.312
7	      A7	6	164,216.328
8	      A8	6	146,238.750
9	      A9	6	
10	      A10	6	
11	      A11	6	
12	      A12	6	
13	      B1	6	143,855.156
14	      B2	6	124,122.445
15	      B3	6	134,861.859
16	      B4	6	138,458.328
17	      B5	6	143,396.297
18	      B6	6	189,517.578
19	      B7	6	138,258.016
20	      B8	6	233,415.891
21	      B9	6	
22	      B10	6	
23	      B11	6	
24	      B12	6	
25	      C1	6	111,439.633
26	      C2	6	122,812.430
27	      C3	6	136,897.156
28	      C4	6	141,298.078
29	      C5	6	140,305.359
30	      C6	6	137,977.109
31	      C7	6	135,486.547
32	      C8	6	215,660.484
33	      C9	6	
34	      C10	6	
35	      C11	6	
36	      C12	6	
37	      D1	6	108,291.164
38	      D2	6	120,459.016
39	      D3	6	123,487.125
40	      D4	6	142,663.703
41	      D5	6	134,308.422
42	      D6	6	151,217.906
43	      D7	6	133,334.656
44	      D8	6	136,425.938
45	      D9	6	
46	      D10	6	
47	      D11	6	
48	      D12	6	
49	      E1	6	110,406.641
50	      E2	6	111,547.617
51	      E3	6	136,995.391
52	      E4	6	133,384.812
53	      E5	6	131,919.391
54	      E6	6	151,242.125
55	      E7	6	141,336.672
56	      E8	6	257,986.000
57	      E9	6	
58	      E10	6	
59	      E11	6	
60	      E12	6	
61	      F1	6	103,431.398
62	      F2	6	105,700.375
63	      F3	6	141,474.453
64	      F4	6	136,248.875
65	      F5	6	134,502.734
66	      F6	6	171,675.188
67	      F7	6	129,388.242
68	      F8	6	176,557.734
69	      F9	6	
70	      F10	6	
71	      F11	6	
72	      F12	6	
73	      G1	6	102,085.062
74	      G2	6	109,082.492
75	      G3	6	137,323.859
76	      G4	6	134,036.688
77	      G5	6	131,234.953
78	      G6	6	178,031.000
79	      G7	6	132,111.609
80	      G8	6	193,947.984
81	      G9	6	
82	      G10	6	
83	      G11	6	
84	      G12	6	
85	      H1	6	96,951.602
86	      H2	6	98,935.711
87	      H3	6	124,495.086
88	      H4	6	148,094.672
89	      H5	6	119,175.172
90	      H6	6	167,239.031
91	      H7	6	124,735.414
92	      H8	6	134,095.469
93	      H9	6	
94	      H10	6	
95	      H11	6	
96	      H12	6	
1	      A1	7	319,822.031
2	      A2	7	309,306.750
3	      A3	7	173,896.656
4	      A4	7	156,697.172
5	      A5	7	147,155.688
6	      A6	7	193,230.594
7	      A7	7	165,256.156
8	      A8	7	146,497.562
9	      A9	7	
10	      A10	7	
11	      A11	7	
12	      A12	7	
13	      B1	7	144,389.078
14	      B2	7	124,521.867
15	      B3	7	135,144.266
16	      B4	7	140,129.344
17	      B5	7	144,821.203
18	      B6	7	189,270.547
19	      B7	7	139,357.422
20	      B8	7	235,778.766
21	      B9	7	
22	      B10	7	
23	      B11	7	
24	      B12	7	
25	      C1	7	110,690.742
26	      C2	7	122,811.008
27	      C3	7	138,202.297
28	      C4	7	141,813.109
29	      C5	7	140,866.188
30	      C6	7	138,136.578
31	      C7	7	135,487.906
32	      C8	7	229,179.484
33	      C9	7	
34	      C10	7	
35	      C11	7	
36	      C12	7	
37	      D1	7	108,220.875
38	      D2	7	120,267.781
39	      D3	7	124,276.109
40	      D4	7	145,092.531
41	      D5	7	135,464.969
42	      D6	7	151,747.219
43	      D7	7	134,117.781
44	      D8	7	136,700.109
45	      D9	7	
46	      D10	7	
47	      D11	7	
48	      D12	7	
49	      E1	7	110,289.648
50	      E2	7	111,214.516
51	      E3	7	136,539.516
52	      E4	7	134,696.516
53	      E5	7	132,259.547
54	      E6	7	151,475.766
55	      E7	7	140,976.094
56	      E8	7	269,255.656
57	      E9	7	
58	      E10	7	
59	      E11	7	
60	      E12	7	
61	      F1	7	102,715.125
62	      F2	7	106,087.016
63	      F3	7	142,555.766
64	      F4	7	138,632.344
65	      F5	7	135,846.797
66	      F6	7	173,024.953
67	      F7	7	129,493.766
68	      F8	7	177,365.766
69	      F9	7	
70	      F10	7	
71	      F11	7	
72	      F12	7	
73	      G1	7	101,490.078
74	      G2	7	109,145.016
75	      G3	7	137,789.141
76	      G4	7	136,726.453
77	      G5	7	131,338.438
78	      G6	7	179,060.312
79	      G7	7	132,351.406
80	      G8	7	201,529.375
81	      G9	7	
82	      G10	7	
83	      G11	7	
84	      G12	7	
85	      H1	7	92,251.742
86	      H2	7	98,625.391
87	      H3	7	125,150.391
88	      H4	7	151,250.453
89	      H5	7	119,401.828
90	      H6	7	168,081.719
91	      H7	7	124,793.297
92	      H8	7	133,968.422
93	      H9	7	
94	      H10	7	
95	      H11	7	
96	      H12	7	
1	      A1	8	332,392.781
2	      A2	8	324,456.469
3	      A3	8	176,396.375
4	      A4	8	162,704.047
5	      A5	8	148,746.703
6	      A6	8	198,360.766
7	      A7	8	165,682.219
8	      A8	8	145,348.859
9	      A9	8	
10	      A10	8	
11	      A11	8	
12	      A12	8	
13	      B1	8	145,074.516
14	      B2	8	126,730.477
15	      B3	8	136,739.953
16	      B4	8	144,189.000
17	      B5	8	147,007.547
18	      B6	8	189,569.141
19	      B7	8	141,081.969
20	      B8	8	242,685.469
21	      B9	8	
22	      B10	8	
23	      B11	8	
24	      B12	8	
25	      C1	8	110,543.742
26	      C2	8	122,182.516
27	      C3	8	138,892.453
28	      C4	8	144,326.375
29	      C5	8	142,583.312
30	      C6	8	138,951.141
31	      C7	8	136,246.734
32	      C8	8	254,204.422
33	      C9	8	
34	      C10	8	
35	      C11	8	
36	      C12	8	
37	      D1	8	107,957.969
38	      D2	8	119,241.570
39	      D3	8	126,328.727
40	      D4	8	147,291.469
41	      D5	8	136,279.234
42	      D6	8	153,228.594
43	      D7	8	134,325.188
44	      D8	8	136,084.281
45	      D9	8	
46	      D10	8	
47	      D11	8	
48	      D12	8	
49	      E1	8	110,385.609
50	      E2	8	111,321.297
51	      E3	8	136,693.797
52	      E4	8	136,589.594
53	      E5	8	133,811.406
54	      E6	8	152,069.938
55	      E7	8	141,270.219
56	      E8	8	292,087.125
57	      E9	8	
58	      E10	8	
59	      E11	8	
60	      E12	8	
61	      F1	8	101,576.789
62	      F2	8	105,152.594
63	      F3	8	144,302.047
64	      F4	8	142,478.422
65	      F5	8	137,401.953
66	      F6	8	175,582.188
67	      F7	8	129,485.828
68	      F8	8	179,001.984
69	      F9	8	
70	      F10	8	
71	      F11	8	
72	      F12	8	
73	      G1	8	101,012.383
74	      G2	8	109,508.305
75	      G3	8	139,984.297
76	      G4	8	140,572.422
77	      G5	8	132,456.766
78	      G6	8	182,277.953
79	      G7	8	132,530.641
80	      G8	8	218,601.766
81	      G9	8	
82	      G10	8	
83	      G11	8	
84	      G12	8	
85	      H1	8	91,397.320
86	      H2	8	98,805.172
87	      H3	8	126,957.859
88	      H4	8	157,456.531
89	      H5	8	121,123.250
90	      H6	8	171,559.766
91	      H7	8	126,084.289
92	      H8	8	133,177.781
93	      H9	8	
94	      H10	8	
95	      H11	8	
96	      H12	8	
1	      A1	9	362,551.844
2	      A2	9	359,604.594
3	      A3	9	183,745.172
4	      A4	9	173,258.484
5	      A5	9	152,495.172
6	      A6	9	209,392.375
7	      A7	9	167,168.172
8	      A8	9	145,161.234
9	      A9	9	
10	      A10	9	
11	      A11	9	
12	      A12	9	
13	      B1	9	146,225.703
14	      B2	9	130,000.695
15	      B3	9	139,248.734
16	      B4	9	151,551.172
17	      B5	9	152,821.984
18	      B6	9	191,368.750
19	      B7	9	143,057.375
20	      B8	9	258,251.578
21	      B9	9	
22	      B10	9	
23	      B11	9	
24	      B12	9	
25	      C1	9	110,706.031
26	      C2	9	121,453.055
27	      C3	9	141,821.625
28	      C4	9	148,735.234
29	      C5	9	146,111.609
30	      C6	9	141,649.359
31	      C7	9	137,974.594
32	      C8	9	302,698.750
33	      C9	9	
34	      C10	9	
35	      C11	9	
36	      C12	9	
37	      D1	9	106,820.438
38	      D2	9	119,084.547
39	      D3	9	128,875.945
40	      D4	9	151,962.766
41	      D5	9	138,412.391
42	      D6	9	156,013.266
43	      D7	9	134,972.484
44	      D8	9	135,263.000
45	      D9	9	
46	      D10	9	
47	      D11	9	
48	      D12	9	
49	      E1	9	110,381.766
50	      E2	9	111,475.867
51	      E3	9	138,638.984
52	      E4	9	141,156.328
53	      E5	9	135,129.812
54	      E6	9	154,655.562
55	      E7	9	141,490.938
56	      E8	9	338,576.781
57	      E9	9	
58	      E10	9	
59	      E11	9	
60	      E12	9	
61	      F1	9	101,531.180
62	      F2	9	104,810.211
63	      F3	9	147,418.516
64	      F4	9	150,179.938
65	      F5	9	138,958.953
66	      F6	9	181,138.766
67	      F7	9	129,886.773
68	      F8	9	181,894.953
69	      F9	9	
70	      F10	9	
71	      F11	9	
72	      F12	9	
73	      G1	9	100,912.164
74	      G2	9	109,325.258
75	      G3	9	143,825.297
76	      G4	9	151,554.766
77	      G5	9	135,838.797
78	      G6	9	189,497.062
79	      G7	9	133,350.656
80	      G8	9	252,416.688
81	      G9	9	
82	      G10	9	
83	      G11	9	
84	      G12	9	
85	      H1	9	92,681.656
86	      H2	9	98,734.156
87	      H3	9	131,340.234
88	      H4	9	169,544.516
89	      H5	9	123,677.898
90	      H6	9	179,124.609
91	      H7	9	127,322.273
92	      H8	9	132,941.328
93	      H9	9	
94	      H10	9	
95	      H11	9	
96	      H12	9	
1	      A1	10	426,866.125
2	      A2	10	430,778.438
3	      A3	10	197,912.172
4	      A4	10	193,845.703
5	      A5	10	160,906.250
6	      A6	10	232,544.969
