* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC3_8_20161206.eds
* Experiment Name = ERCC3_8_20161206
* Experiment Run End Time = 2016-12-06 14:12:41 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

3	A3	36	Target 1	7.875	6.478
3	A3	37	Target 1	7.896	6.499
3	A3	38	Target 1	7.929	6.532
3	A3	39	Target 1	7.956	6.559
3	A3	40	Target 1	7.975	6.579
4	A4	1	Target 1	1.371	-0.016
4	A4	2	Target 1	1.373	-0.014
4	A4	3	Target 1	1.378	-0.009
4	A4	4	Target 1	1.386	-0.001
4	A4	5	Target 1	1.398	0.010
4	A4	6	Target 1	1.420	0.033
4	A4	7	Target 1	1.459	0.071
4	A4	8	Target 1	1.531	0.143
4	A4	9	Target 1	1.670	0.283
4	A4	10	Target 1	1.904	0.516
4	A4	11	Target 1	2.224	0.837
4	A4	12	Target 1	2.610	1.223
4	A4	13	Target 1	3.038	1.651
4	A4	14	Target 1	3.489	2.101
4	A4	15	Target 1	3.947	2.560
4	A4	16	Target 1	4.395	3.008
4	A4	17	Target 1	4.825	3.438
4	A4	18	Target 1	5.232	3.844
4	A4	19	Target 1	5.596	4.208
4	A4	20	Target 1	5.929	4.541
4	A4	21	Target 1	6.217	4.829
4	A4	22	Target 1	6.458	5.071
4	A4	23	Target 1	6.671	5.283
4	A4	24	Target 1	6.857	5.469
4	A4	25	Target 1	6.997	5.610
4	A4	26	Target 1	7.128	5.740
4	A4	27	Target 1	7.244	5.856
4	A4	28	Target 1	7.334	5.946
4	A4	29	Target 1	7.410	6.023
4	A4	30	Target 1	7.475	6.088
4	A4	31	Target 1	7.539	6.151
4	A4	32	Target 1	7.589	6.201
4	A4	33	Target 1	7.634	6.246
4	A4	34	Target 1	7.671	6.284
4	A4	35	Target 1	7.700	6.313
4	A4	36	Target 1	7.731	6.344
4	A4	37	Target 1	7.759	6.372
4	A4	38	Target 1	7.786	6.398
4	A4	39	Target 1	7.810	6.423
4	A4	40	Target 1	7.832	6.445
5	A5	1	Target 1	1.346	-0.011
5	A5	2	Target 1	1.347	-0.010
5	A5	3	Target 1	1.353	-0.004
5	A5	4	Target 1	1.361	0.004
5	A5	5	Target 1	1.375	0.017
5	A5	6	Target 1	1.398	0.040
5	A5	7	Target 1	1.440	0.083
5	A5	8	Target 1	1.521	0.164
5	A5	9	Target 1	1.672	0.314
5	A5	10	Target 1	1.914	0.556
5	A5	11	Target 1	2.239	0.882
5	A5	12	Target 1	2.623	1.266
5	A5	13	Target 1	3.046	1.689
5	A5	14	Target 1	3.494	2.136
5	A5	15	Target 1	3.948	2.591
5	A5	16	Target 1	4.389	3.032
5	A5	17	Target 1	4.805	3.448
5	A5	18	Target 1	5.196	3.838
5	A5	19	Target 1	5.550	4.192
5	A5	20	Target 1	5.863	4.506
5	A5	21	Target 1	6.131	4.773
5	A5	22	Target 1	6.373	5.015
5	A5	23	Target 1	6.583	5.226
5	A5	24	Target 1	6.762	5.405
5	A5	25	Target 1	6.905	5.547
5	A5	26	Target 1	7.035	5.678
5	A5	27	Target 1	7.153	5.796
5	A5	28	Target 1	7.234	5.877
5	A5	29	Target 1	7.301	5.944
5	A5	30	Target 1	7.371	6.013
5	A5	31	Target 1	7.428	6.070
5	A5	32	Target 1	7.477	6.120
5	A5	33	Target 1	7.526	6.169
5	A5	34	Target 1	7.563	6.206
5	A5	35	Target 1	7.588	6.230
5	A5	36	Target 1	7.624	6.267
5	A5	37	Target 1	7.652	6.295
5	A5	38	Target 1	7.668	6.311
5	A5	39	Target 1	7.698	6.341
5	A5	40	Target 1	7.721	6.363
6	A6	1	Target 1	1.334	-0.008
6	A6	2	Target 1	1.337	-0.005
6	A6	3	Target 1	1.340	-0.003
6	A6	4	Target 1	1.345	0.003
6	A6	5	Target 1	1.360	0.017
6	A6	6	Target 1	1.381	0.039
6	A6	7	Target 1	1.421	0.078
6	A6	8	Target 1	1.496	0.153
6	A6	9	Target 1	1.635	0.293
6	A6	10	Target 1	1.866	0.524
6	A6	11	Target 1	2.179	0.837
6	A6	12	Target 1	2.549	1.206
6	A6	13	Target 1	2.959	1.617
6	A6	14	Target 1	3.397	2.054
6	A6	15	Target 1	3.838	2.496
6	A6	16	Target 1	4.272	2.929
6	A6	17	Target 1	4.689	3.347
6	A6	18	Target 1	5.074	3.731
6	A6	19	Target 1	5.423	4.081
6	A6	20	Target 1	5.742	4.399
6	A6	21	Target 1	6.016	4.674
6	A6	22	Target 1	6.259	4.917
6	A6	23	Target 1	6.479	5.137
6	A6	24	Target 1	6.659	5.317
6	A6	25	Target 1	6.812	5.470
6	A6	26	Target 1	6.936	5.594
6	A6	27	Target 1	7.047	5.705
6	A6	28	Target 1	7.141	5.799
6	A6	29	Target 1	7.215	5.873
6	A6	30	Target 1	7.288	5.945
6	A6	31	Target 1	7.347	6.005
6	A6	32	Target 1	7.396	6.053
6	A6	33	Target 1	7.441	6.098
6	A6	34	Target 1	7.479	6.137
6	A6	35	Target 1	7.521	6.179
6	A6	36	Target 1	7.550	6.208
6	A6	37	Target 1	7.573	6.230
6	A6	38	Target 1	7.594	6.252
6	A6	39	Target 1	7.624	6.282
6	A6	40	Target 1	7.645	6.303
7	A7	1	Target 1	1.007	0.012
7	A7	2	Target 1	1.007	0.005
7	A7	3	Target 1	1.012	0.002
7	A7	4	Target 1	1.017	-0.001
7	A7	5	Target 1	1.024	-0.002
7	A7	6	Target 1	1.036	0.002
7	A7	7	Target 1	1.056	0.014
7	A7	8	Target 1	1.093	0.043
7	A7	9	Target 1	1.161	0.103
7	A7	10	Target 1	1.288	0.222
7	A7	11	Target 1	1.506	0.432
