* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 11:06:00 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P3_20161208.eds
* Experiment Name = Nate_QDNA_P3_20161208
* Experiment Run End Time = 2016-12-08 18:55:57 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
1	A1	1	Target 1	325,683.875	8,398.487
1	A1	2	Target 1	324,510.781	6,019.831
1	A1	3	Target 1	321,452.125	1,755.613
1	A1	4	Target 1	320,627.969	-274.106
1	A1	5	Target 1	320,151.156	-1,956.481
1	A1	6	Target 1	321,026.031	-2,287.169
1	A1	7	Target 1	327,280.906	2,762.144
1	A1	8	Target 1	342,378.125	16,653.801
1	A1	9	Target 1	374,636.000	47,706.113
1	A1	10	Target 1	439,452.781	111,317.328
1	A1	11	Target 1	569,714.188	240,373.172
1	A1	12	Target 1	814,882.188	484,335.625
1	A1	13	Target 1	1,274,928.000	943,175.875
1	A1	14	Target 1	2,103,793.750	1,770,836.000
1	A1	15	Target 1	3,505,169.000	3,171,005.750
1	A1	16	Target 1	5,650,159.500	5,314,790.500
1	A1	17	Target 1	8,507,871.000	8,171,296.500
1	A1	18	Target 1	11,684,820.000	11,347,040.000
1	A1	19	Target 1	14,606,336.000	14,267,350.000
1	A1	20	Target 1	16,986,386.000	16,646,195.000
1	A1	21	Target 1	18,794,648.000	18,453,252.000
1	A1	22	Target 1	20,146,752.000	19,804,150.000
1	A1	23	Target 1	21,157,478.000	20,813,670.000
1	A1	24	Target 1	21,956,952.000	21,611,938.000
1	A1	25	Target 1	22,572,742.000	22,226,524.000
1	A1	26	Target 1	23,066,716.000	22,719,292.000
1	A1	27	Target 1	23,451,068.000	23,102,438.000
1	A1	28	Target 1	23,784,376.000	23,434,540.000
1	A1	29	Target 1	24,039,554.000	23,688,512.000
1	A1	30	Target 1	24,216,916.000	23,864,670.000
1	A1	31	Target 1	24,353,782.000	24,000,330.000
1	A1	32	Target 1	24,470,208.000	24,115,550.000
1	A1	33	Target 1	24,511,640.000	24,155,776.000
1	A1	34	Target 1	24,530,860.000	24,173,792.000
1	A1	35	Target 1	24,527,494.000	24,169,220.000
1	A1	36	Target 1	24,502,686.000	24,143,206.000
1	A1	37	Target 1	24,449,518.000	24,088,832.000
1	A1	38	Target 1	24,406,496.000	24,044,604.000
1	A1	39	Target 1	24,361,916.000	23,998,820.000
1	A1	40	Target 1	24,339,676.000	23,975,374.000
2	A2	1	Target 1	314,498.844	9,100.031
2	A2	2	Target 1	312,828.750	6,046.503
2	A2	3	Target 1	310,366.969	2,201.288
2	A2	4	Target 1	308,932.906	-616.209
2	A2	5	Target 1	308,700.594	-2,231.956
2	A2	6	Target 1	309,823.375	-2,492.609
2	A2	7	Target 1	316,838.906	3,139.488
2	A2	8	Target 1	335,140.344	20,057.490
2	A2	9	Target 1	369,551.000	53,084.711
2	A2	10	Target 1	439,787.031	121,937.312
2	A2	11	Target 1	577,876.312	258,643.156
2	A2	12	Target 1	841,643.625	521,027.031
2	A2	13	Target 1	1,334,455.250	1,012,455.250
2	A2	14	Target 1	2,218,481.750	1,895,098.250
2	A2	15	Target 1	3,699,862.000	3,375,095.000
2	A2	16	Target 1	5,940,038.000	5,613,887.500
2	A2	17	Target 1	8,865,347.000	8,537,813.000
2	A2	18	Target 1	12,032,016.000	11,703,099.000
2	A2	19	Target 1	14,923,089.000	14,592,788.000
2	A2	20	Target 1	17,242,766.000	16,911,082.000
2	A2	21	Target 1	18,967,164.000	18,634,096.000
2	A2	22	Target 1	20,251,506.000	19,917,056.000
2	A2	23	Target 1	21,209,958.000	20,874,124.000
2	A2	24	Target 1	21,973,392.000	21,636,174.000
2	A2	25	Target 1	22,578,062.000	22,239,460.000
2	A2	26	Target 1	23,076,548.000	22,736,564.000
2	A2	27	Target 1	23,463,150.000	23,121,782.000
2	A2	28	Target 1	23,771,080.000	23,428,328.000
2	A2	29	Target 1	23,991,282.000	23,647,148.000
2	A2	30	Target 1	24,175,310.000	23,829,792.000
2	A2	31	Target 1	24,290,092.000	23,943,190.000
2	A2	32	Target 1	24,404,260.000	24,055,974.000
2	A2	33	Target 1	24,469,700.000	24,120,032.000
2	A2	34	Target 1	24,508,230.000	24,157,178.000
2	A2	35	Target 1	24,505,322.000	24,152,886.000
2	A2	36	Target 1	24,464,444.000	24,110,624.000
2	A2	37	Target 1	24,428,522.000	24,073,320.000
2	A2	38	Target 1	24,388,020.000	24,031,434.000
2	A2	39	Target 1	24,345,420.000	23,987,450.000
2	A2	40	Target 1	24,323,926.000	23,964,574.000
3	A3	1	Target 1	160,832.422	4,364.264
3	A3	2	Target 1	160,586.609	3,266.509
3	A3	3	Target 1	159,129.797	957.754
3	A3	4	Target 1	158,828.688	-195.297
3	A3	5	Target 1	159,229.109	-646.818
3	A3	6	Target 1	160,100.734	-627.135
3	A3	7	Target 1	160,766.953	-812.859
3	A3	8	Target 1	163,756.109	1,324.355
3	A3	9	Target 1	169,542.516	6,258.819
3	A3	10	Target 1	180,174.969	16,039.329
3	A3	11	Target 1	202,579.188	37,591.605
3	A3	12	Target 1	245,844.688	80,005.164
3	A3	13	Target 1	330,188.750	163,497.281
3	A3	14	Target 1	490,408.625	322,865.219
3	A3	15	Target 1	794,320.312	625,924.938
3	A3	16	Target 1	1,356,739.125	1,187,491.875
3	A3	17	Target 1	2,362,236.500	2,192,137.250
3	A3	18	Target 1	4,043,776.250	3,872,825.000
3	A3	19	Target 1	6,579,184.500	6,407,381.500
3	A3	20	Target 1	9,826,119.000	9,653,464.000
3	A3	21	Target 1	13,138,672.000	12,965,165.000
3	A3	22	Target 1	15,764,734.000	15,590,375.000
3	A3	23	Target 1	17,291,636.000	17,116,426.000
3	A3	24	Target 1	18,010,304.000	17,834,242.000
3	A3	25	Target 1	18,431,900.000	18,254,986.000
3	A3	26	Target 1	18,775,266.000	18,597,500.000
3	A3	27	Target 1	19,085,554.000	18,906,936.000
3	A3	28	Target 1	19,345,626.000	19,166,156.000
3	A3	29	Target 1	19,539,548.000	19,359,226.000
3	A3	30	Target 1	19,678,034.000	19,496,860.000
3	A3	31	Target 1	19,760,112.000	19,578,086.000
3	A3	32	Target 1	19,821,880.000	19,639,002.000
3	A3	33	Target 1	19,856,836.000	19,673,106.000
3	A3	34	Target 1	19,865,028.000	19,680,446.000
3	A3	35	Target 1	19,863,350.000	19,677,916.000
3	A3	36	Target 1	19,832,562.000	19,646,276.000
3	A3	37	Target 1	19,809,084.000	19,621,946.000
3	A3	38	Target 1	19,785,422.000	19,597,432.000
3	A3	39	Target 1	19,770,750.000	19,581,908.000
3	A3	40	Target 1	19,774,354.000	19,584,660.000
4	A4	1	Target 1	151,020.734	6,459.492
4	A4	2	Target 1	150,978.391	4,055.045
4	A4	3	Target 1	151,130.297	1,844.847
4	A4	4	Target 1	151,908.922	261.369
4	A4	5	Target 1	152,512.594	-1,497.063
4	A4	6	Target 1	153,897.406	-2,474.354
4	A4	7	Target 1	157,904.047	-829.817
