* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC3_8_20161206.eds
* Experiment Name = ERCC3_8_20161206
* Experiment Run End Time = 2016-12-06 14:12:41 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	748,935.688	86,777.461	40,470.578	479,416.562
2	      A2	1	725,213.938	73,841.875	45,803.734	490,178.969
3	      A3	1	756,346.188	69,392.203	50,854.453	510,142.188
4	      A4	1	818,264.312	71,267.586	61,655.250	558,003.375
5	      A5	1	828,446.750	67,757.547	61,465.211	572,454.250
6	      A6	1	867,852.000	74,054.766	74,253.844	604,767.875
7	      A7	1	656,323.875	54,953.734	66,652.406	591,186.562
8	      A8	1	642,193.312	52,914.094	61,592.676	580,355.562
9	      A9	1	674,354.375	60,110.344	65,803.492	598,700.500
10	      A10	1	655,795.500	61,434.543	56,801.602	568,174.375
11	      A11	1	668,845.188	80,248.898	61,534.574	560,795.688
12	      A12	1	651,183.938	72,815.930	45,399.297	522,193.844
13	      B1	1	712,730.562	75,502.930	42,905.648	472,144.188
14	      B2	1	678,191.875	72,602.117	54,363.719	467,603.562
15	      B3	1	773,264.062	67,833.258	54,663.781	539,425.062
16	      B4	1	811,128.188	64,371.281	61,247.543	568,131.688
17	      B5	1	824,876.938	63,667.965	65,428.434	585,425.125
18	      B6	1	822,665.812	65,515.902	72,664.156	589,380.875
19	      B7	1	648,728.688	48,134.184	68,184.055	598,287.688
20	      B8	1	612,664.062	46,914.492	64,100.656	577,418.500
21	      B9	1	638,953.312	55,741.426	80,311.328	593,167.438
22	      B10	1	647,016.062	56,864.266	60,528.676	580,241.188
23	      B11	1	633,830.188	59,891.391	52,194.105	555,759.938
24	      B12	1	588,328.562	63,860.949	43,791.711	509,781.469
25	      C1	1	692,537.500	71,014.305	42,106.527	468,963.969
26	      C2	1	786,376.000	71,943.414	52,265.535	534,188.625
27	      C3	1	743,624.812	61,547.574	55,913.629	529,529.688
28	      C4	1	828,114.000	63,356.336	66,462.977	590,172.562
29	      C5	1	865,259.438	64,162.105	73,541.180	624,837.375
30	      C6	1	818,711.375	63,025.211	76,039.602	594,938.688
31	      C7	1	643,856.625	48,489.695	74,976.734	605,626.562
32	      C8	1	676,780.438	50,387.910	75,350.438	635,188.188
33	      C9	1	667,863.875	53,446.461	73,821.273	622,502.625
34	      C10	1	659,011.125	54,865.215	63,494.414	598,477.000
35	      C11	1	644,871.438	59,494.086	56,919.816	573,836.500
36	      C12	1	634,850.875	68,184.406	53,990.930	544,545.062
37	      D1	1	706,323.562	72,230.266	45,325.684	484,657.375
38	      D2	1	692,349.250	62,407.637	47,601.895	478,702.812
39	      D3	1	745,118.125	60,190.270	55,673.867	523,666.281
40	      D4	1	800,775.188	61,411.098	66,221.766	572,738.312
41	      D5	1	820,246.812	60,098.770	72,935.258	594,945.562
42	      D6	1	848,777.562	62,572.355	80,056.211	622,008.000
43	      D7	1	661,062.062	47,756.297	79,066.109	626,954.375
44	      D8	1	660,760.562	48,822.535	76,501.023	619,066.875
45	      D9	1	670,369.062	54,395.059	74,633.086	609,495.375
46	      D10	1	646,917.188	52,518.297	62,152.594	594,946.438
47	      D11	1	640,050.125	59,381.785	58,506.250	569,798.312
48	      D12	1	625,224.062	62,801.191	50,870.230	544,590.000
49	      E1	1	703,613.000	70,500.219	43,019.078	475,339.156
50	      E2	1	732,932.875	65,263.660	50,954.984	508,461.594
51	      E3	1	790,294.375	65,665.203	62,299.785	556,326.375
52	      E4	1	801,046.875	61,561.469	68,355.844	578,649.625
53	      E5	1	805,823.938	58,578.746	71,392.656	583,116.500
54	      E6	1	826,175.438	59,356.871	77,532.039	609,898.375
55	      E7	1	630,250.812	46,513.039	75,600.453	593,808.000
56	      E8	1	641,639.812	47,066.324	74,818.648	604,736.250
57	      E9	1	669,322.000	51,463.938	73,496.617	620,284.938
58	      E10	1	662,548.375	56,241.223	68,097.938	607,344.375
59	      E11	1	631,951.125	59,090.645	59,762.910	559,691.688
60	      E12	1	602,228.812	61,035.594	49,641.324	528,912.250
61	      F1	1	679,427.750	69,311.898	41,684.445	453,437.094
62	      F2	1	686,982.750	64,008.586	48,482.797	472,416.188
63	      F3	1	735,983.062	61,778.305	55,965.238	519,449.438
64	      F4	1	772,784.562	62,912.746	64,804.219	545,514.312
65	      F5	1	779,204.562	59,223.500	67,572.695	562,589.500
66	      F6	1	813,601.250	61,840.105	75,353.984	597,615.312
67	      F7	1	612,780.750	46,222.250	72,563.383	579,070.438
68	      F8	1	604,141.875	45,589.695	67,761.539	564,112.938
69	      F9	1	634,695.562	52,144.805	68,678.336	583,380.438
70	      F10	1	608,115.625	51,951.527	59,159.258	545,195.312
71	      F11	1	594,052.688	55,141.719	53,341.020	529,107.938
72	      F12	1	572,562.500	60,398.152	45,712.172	502,405.406
73	      G1	1	667,763.375	72,808.758	39,516.734	444,628.312
74	      G2	1	695,889.688	69,120.297	45,460.703	477,378.188
75	      G3	1	711,690.312	64,320.746	53,058.016	505,373.531
76	      G4	1	760,212.062	64,039.461	58,851.926	534,751.375
77	      G5	1	764,294.125	61,078.879	62,867.098	545,363.688
78	      G6	1	759,656.875	58,879.793	64,355.238	547,802.438
79	      G7	1	575,955.625	44,685.551	62,984.547	537,293.500
80	      G8	1	594,884.500	46,798.160	63,700.133	553,180.500
81	      G9	1	595,609.812	49,449.945	58,375.758	540,320.438
82	      G10	1	625,145.312	57,820.523	59,298.246	552,302.062
83	      G11	1	568,702.500	56,200.062	48,496.785	502,262.438
84	      G12	1	555,095.875	61,539.539	42,802.727	477,983.500
85	      H1	1	619,855.062	71,544.930	34,976.852	395,863.094
86	      H2	1	627,295.000	66,915.922	39,014.195	432,551.938
87	      H3	1	661,217.500	64,781.027	46,898.078	460,355.969
88	      H4	1	697,261.062	63,396.641	51,222.664	480,262.781
89	      H5	1	734,453.250	62,878.984	55,064.227	510,628.562
90	      H6	1	714,715.375	61,437.598	56,216.969	500,541.500
91	      H7	1	549,122.250	46,302.355	56,182.648	501,799.594
92	      H8	1	582,248.625	49,956.246	57,022.418	530,934.375
93	      H9	1	553,271.125	53,884.668	62,341.812	499,897.688
94	      H10	1	573,427.875	54,918.836	49,747.891	498,203.656
95	      H11	1	534,206.500	54,922.395	41,505.980	456,073.000
96	      H12	1	524,821.875	62,263.238	38,085.504	449,856.406
1	      A1	2	737,115.625	85,430.844	39,944.484	472,800.969
2	      A2	2	724,369.875	73,637.680	45,132.797	488,264.375
3	      A3	2	758,062.062	70,092.016	51,102.160	511,215.969
4	      A4	2	819,027.875	71,569.008	61,740.340	555,676.500
5	      A5	2	823,949.062	67,600.586	60,587.711	568,944.312
6	      A6	2	872,149.375	74,283.828	74,187.648	604,503.938
7	      A7	2	656,801.250	55,188.035	66,561.555	590,465.000
8	      A8	2	647,566.000	53,692.227	62,340.758	583,919.625
9	      A9	2	674,392.375	60,106.168	65,340.844	599,093.250
10	      A10	2	655,886.125	61,427.684	56,853.762	567,106.812
11	      A11	2	668,847.438	79,591.227	61,317.066	558,241.688
12	      A12	2	652,162.562	73,365.641	45,459.543	521,641.594
13	      B1	2	714,261.875	75,544.867	42,306.918	470,780.250
14	      B2	2	672,745.750	72,692.953	54,094.273	465,552.625
15	      B3	2	776,382.812	67,660.711	54,474.879	538,569.312
16	      B4	2	808,962.562	64,730.566	61,159.016	568,412.562
17	      B5	2	829,511.562	64,437.574	64,736.996	586,556.312
18	      B6	2	827,543.188	65,765.883	72,546.523	591,336.688
19	      B7	2	646,613.000	48,337.188	68,397.844	600,186.875
20	      B8	2	615,107.188	47,346.613	63,844.496	579,462.188
21	      B9	2	643,987.750	55,802.840	80,714.406	597,440.062
22	      B10	2	649,993.750	56,804.711	60,267.844	581,305.562
23	      B11	2	639,418.875	60,183.570	52,039.152	556,001.750
24	      B12	2	595,699.875	64,051.223	43,607.785	512,364.531
25	      C1	2	702,262.188	71,719.047	42,691.797	472,410.094
26	      C2	2	786,469.312	72,343.273	52,550.145	534,362.375
27	      C3	2	752,401.688	62,990.176	55,821.535	533,289.125
28	      C4	2	834,028.000	64,226.656	66,647.398	590,579.125
29	      C5	2	865,885.250	63,945.082	73,663.055	623,986.312
30	      C6	2	824,576.125	63,579.895	76,606.406	599,046.000
31	      C7	2	649,885.438	49,061.219	75,389.820	608,788.250
32	      C8	2	684,569.750	50,847.148	76,087.031	640,671.375
33	      C9	2	672,126.938	54,115.637	74,589.992	626,395.000
34	      C10	2	663,533.250	55,711.746	63,709.891	603,483.938
35	      C11	2	652,365.688	59,747.883	57,350.176	576,614.375
36	      C12	2	640,327.250	68,993.477	53,882.496	545,569.188
37	      D1	2	711,969.375	72,093.852	45,931.027	485,402.469
38	      D2	2	697,491.562	62,585.508	48,025.211	480,985.094
