* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:11 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC4_9_20161206.eds
* Experiment Name = ERCC4_9_20161206
* Experiment Run End Time = 2016-12-06 15:59:53 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	264,419.250	31,529.729	41,064.141	481,778.812
2	      A2	1	259,758.406	24,654.830	44,339.418	494,502.031
3	      A3	1	261,339.375	22,741.955	49,756.836	512,728.656
4	      A4	1	277,533.781	22,649.574	55,777.383	547,120.062
5	      A5	1	276,184.125	22,886.068	59,257.859	549,057.062
6	      A6	1	282,272.812	22,395.598	63,266.188	583,214.938
7	      A7	1	866,054.750	61,717.539	65,236.852	604,430.750
8	      A8	1	813,171.438	59,294.781	60,306.637	567,995.562
9	      A9	1	844,067.750	65,225.418	59,830.160	581,849.500
10	      A10	1	806,092.312	66,954.523	52,817.699	541,138.750
11	      A11	1	838,673.938	77,817.727	49,904.297	544,038.812
12	      A12	1	796,539.812	81,723.055	43,660.672	506,550.781
13	      B1	1	238,244.938	25,077.084	40,751.219	461,901.969
14	      B2	1	231,481.172	21,239.811	43,073.734	465,252.250
15	      B3	1	258,959.734	21,713.100	52,419.250	529,456.438
16	      B4	1	272,086.844	20,567.355	59,643.211	562,300.125
17	      B5	1	263,701.781	20,700.072	61,710.949	555,929.562
18	      B6	1	274,169.688	20,881.652	66,773.945	576,819.250
19	      B7	1	826,231.812	55,320.477	67,549.141	590,641.875
20	      B8	1	869,578.812	60,128.375	68,534.555	614,680.000
21	      B9	1	844,002.500	61,962.875	63,605.996	590,663.938
22	      B10	1	841,044.875	66,240.297	59,086.949	580,800.375
23	      B11	1	819,072.562	70,092.594	51,577.086	548,193.688
24	      B12	1	766,802.188	75,332.055	45,148.902	514,064.781
25	      C1	1	233,306.531	22,249.984	41,359.832	461,518.500
26	      C2	1	257,071.000	23,078.271	49,716.527	510,336.844
27	      C3	1	261,015.094	22,350.238	56,860.598	530,496.875
28	      C4	1	278,893.188	20,471.182	65,466.871	581,830.875
29	      C5	1	317,329.250	23,643.281	78,549.703	669,983.375
30	      C6	1	275,398.125	20,889.547	72,609.773	588,726.562
31	      C7	1	832,120.000	54,016.203	72,946.055	606,031.000
32	      C8	1	871,060.062	57,596.582	74,667.844	626,220.000
33	      C9	1	861,928.438	60,116.762	68,657.109	605,036.125
34	      C10	1	850,167.688	63,642.758	63,044.320	597,790.062
35	      C11	1	814,952.875	66,898.742	54,364.637	556,394.000
36	      C12	1	816,758.562	76,118.531	50,046.070	542,437.062
37	      D1	1	231,404.297	22,165.076	42,938.102	465,271.219
38	      D2	1	244,589.422	21,351.629	47,715.734	481,217.594
39	      D3	1	235,775.078	18,415.633	53,221.738	503,464.750
40	      D4	1	271,490.531	21,149.467	65,068.367	559,605.250
41	      D5	1	271,557.969	19,657.623	71,083.367	585,243.875
42	      D6	1	281,601.156	20,655.799	77,711.047	610,882.812
43	      D7	1	847,300.000	53,365.152	77,195.547	618,750.312
44	      D8	1	847,122.188	55,400.477	74,276.906	612,107.500
45	      D9	1	868,619.062	59,341.484	71,882.383	616,965.938
46	      D10	1	843,327.562	61,195.820	61,901.934	592,542.375
47	      D11	1	826,585.688	67,941.336	57,253.309	567,958.812
48	      D12	1	809,130.062	74,487.812	52,182.047	536,366.438
49	      E1	1	236,141.906	21,871.502	42,507.117	470,571.375
50	      E2	1	245,736.547	20,606.344	50,421.551	506,774.000
51	      E3	1	271,425.688	21,674.141	62,125.445	557,926.062
52	      E4	1	264,284.719	19,362.205	64,658.957	560,198.875
53	      E5	1	262,927.594	18,299.418	69,047.344	562,766.312
54	      E6	1	286,179.750	19,164.359	76,632.656	604,906.500
55	      E7	1	789,405.250	50,885.633	72,674.383	575,130.438
56	      E8	1	816,987.625	53,345.398	73,483.961	593,724.000
57	      E9	1	836,977.000	57,246.852	70,273.320	596,841.125
58	      E10	1	837,433.438	61,073.066	64,290.516	585,611.062
59	      E11	1	812,689.812	66,340.367	56,518.312	553,743.750
60	      E12	1	777,298.438	70,888.891	48,887.430	524,582.250
61	      F1	1	216,548.281	20,776.092	39,084.102	437,612.125
62	      F2	1	222,765.156	19,277.713	45,278.102	454,586.031
63	      F3	1	242,532.141	19,348.500	54,313.949	504,527.906
64	      F4	1	253,135.828	19,974.289	60,802.918	527,456.062
65	      F5	1	271,422.250	20,033.127	69,131.914	575,603.750
66	      F6	1	265,981.812	19,832.441	72,070.227	578,139.562
67	      F7	1	780,379.750	51,057.289	70,271.133	566,570.188
68	      F8	1	788,024.250	52,860.832	68,107.602	564,500.812
69	      F9	1	803,813.250	57,360.738	65,919.188	570,098.125
70	      F10	1	839,525.812	74,361.742	105,197.695	591,929.750
71	      F11	1	751,755.562	62,789.008	51,935.895	518,496.781
72	      F12	1	742,322.688	71,415.422	46,569.242	500,479.750
73	      G1	1	218,598.219	21,977.217	36,297.402	429,985.594
74	      G2	1	235,733.453	21,885.125	44,122.828	471,126.594
75	      G3	1	235,994.672	20,836.104	51,276.117	492,738.719
76	      G4	1	255,968.234	20,318.900	57,170.383	535,802.562
77	      G5	1	273,804.094	21,313.279	66,469.227	569,912.062
78	      G6	1	261,289.422	19,608.998	65,944.836	556,577.625
79	      G7	1	739,227.000	51,202.934	62,570.645	534,107.062
80	      G8	1	746,238.812	52,389.039	61,415.270	534,371.312
81	      G9	1	740,537.625	54,642.812	55,726.707	520,796.594
82	      G10	1	802,305.500	63,807.605	56,921.629	551,234.250
83	      G11	1	755,871.438	67,180.469	50,123.285	509,589.656
84	      G12	1	695,785.938	69,710.852	43,004.543	469,114.875
85	      H1	1	203,444.297	22,101.672	32,160.795	383,276.406
86	      H2	1	210,047.391	20,738.391	36,981.637	415,544.031
87	      H3	1	218,069.188	20,688.863	43,428.316	457,009.312
88	      H4	1	235,014.312	21,191.703	49,528.277	473,898.812
89	      H5	1	244,515.828	20,646.824	55,459.047	518,480.844
90	      H6	1	217,168.656	18,368.439	49,352.297	448,470.375
91	      H7	1	703,212.500	52,828.082	55,306.770	498,940.938
92	      H8	1	754,251.125	57,287.461	56,370.973	529,186.875
93	      H9	1	736,421.312	59,470.484	52,580.270	512,909.250
94	      H10	1	725,885.188	62,499.711	47,996.332	489,545.719
95	      H11	1	714,088.375	66,636.570	43,310.477	479,670.000
96	      H12	1	662,136.438	71,502.289	37,161.082	439,022.219
1	      A1	2	260,553.453	31,065.961	40,441.418	472,192.938
2	      A2	2	260,507.938	24,748.457	43,623.258	492,712.812
3	      A3	2	263,429.719	23,056.564	49,465.258	511,503.156
4	      A4	2	279,552.938	22,678.865	55,633.160	546,895.125
5	      A5	2	278,325.844	23,546.596	59,606.457	549,993.812
6	      A6	2	283,531.188	22,396.158	63,360.312	583,644.750
7	      A7	2	878,322.062	63,030.605	65,417.793	609,033.438
