* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 11:06:00 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P3_20161208.eds
* Experiment Name = Nate_QDNA_P3_20161208
* Experiment Run End Time = 2016-12-08 18:55:57 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	333,443.125	6,672.487	1,896.054	1,273.514
2	      A2	1	325,752.219	3,041.623	-207.597	2,254.463
3	      A3	1	158,655.203	61,901.191	17,112.326	893.388
4	      A4	1	152,833.609	1,868.262	472.125	1,195.260
5	      A5	1	143,739.469	1,030.851	384.593	1,530.898
6	      A6	1	181,337.172	2,092.866	840.681	615.513
7	      A7	1	150,907.391	2,067.678	622.519	-459.981
8	      A8	1	143,963.359	1,817.912	791.635	1,082.561
9	      A9	1	33,632.449	4,585.776	1,866.139	5,193.696
10	      A10	1	34,884.828	3,971.169	2,164.730	4,026.068
11	      A11	1	47,665.277	5,602.980	2,478.864	5,947.427
12	      A12	1	49,652.402	6,844.608	5,394.396	5,639.778
13	      B1	1	127,922.320	1,967.489	1,466.944	1,954.116
14	      B2	1	132,957.062	2,804.776	239.015	1,795.857
15	      B3	1	139,953.781	3,208.241	1,346.989	3,849.297
16	      B4	1	142,643.078	2,771.542	1,310.508	-387.755
17	      B5	1	143,168.109	2,534.573	-288.597	201.270
18	      B6	1	178,538.016	2,962.239	551.095	281.160
19	      B7	1	148,899.875	3,010.044	1,644.556	1,848.126
20	      B8	1	234,927.000	2,915.713	175.056	1,331.602
21	      B9	1	21,726.744	3,427.740	1,946.248	2,879.973
22	      B10	1	16,760.475	2,360.657	775.268	-477.569
23	      B11	1	18,928.840	2,852.080	487.764	57.091
24	      B12	1	13,133.580	2,524.342	696.317	899.017
25	      C1	1	115,127.133	1,601.890	1,065.455	-97.430
26	      C2	1	124,066.414	2,447.442	666.579	19.295
27	      C3	1	144,975.953	3,105.316	1,454.867	2,801.870
28	      C4	1	142,827.859	1,749.334	1,283.663	1,710.265
29	      C5	1	146,275.141	2,259.191	536.763	3,649.153
30	      C6	1	149,191.422	1,785.272	1,002.539	932.331
31	      C7	1	141,425.734	2,062.675	1,018.657	544.833
32	      C8	1	568,226.812	16,715.854	1,232.599	883.405
33	      C9	1	17,444.611	3,068.740	1,985.208	3,136.524
34	      C10	1	13,994.405	2,177.820	1,982.187	2,831.965
35	      C11	1	11,107.369	1,345.903	165.477	800.605
36	      C12	1	18,725.615	3,106.141	1,960.267	2,231.207
37	      D1	1	112,938.734	975.530	-213.911	-125.765
38	      D2	1	123,854.258	2,727.222	1,484.355	1,810.403
39	      D3	1	125,618.359	1,385.927	-19.303	-1,330.316
40	      D4	1	148,014.234	3,611.626	1,907.324	1,189.933
