* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:01:23 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC5_10_20161206.eds
* Experiment Name = ERCC5_10_20161206
* Experiment Run End Time = 2016-12-06 17:44:20 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
1	      A1	1	460,511.844	521,621.125
2	      A2	1	488,114.938	526,212.750
3	      A3	1	500,996.344	543,630.062
4	      A4	1	542,370.250	586,779.250
5	      A5	1	547,303.000	575,329.875
6	      A6	1	566,692.062	590,688.938
7	      A7	1	595,188.812	707,660.125
8	      A8	1	568,646.562	669,213.688
9	      A9	1	574,764.375	699,326.000
10	      A10	1	561,452.938	698,470.125
11	      A11	1	537,362.562	711,871.312
12	      A12	1	500,145.188	659,796.125
13	      B1	1	446,409.156	486,281.250
14	      B2	1	460,505.500	480,310.875
15	      B3	1	518,617.188	532,375.625
16	      B4	1	550,603.062	569,111.625
17	      B5	1	563,708.375	575,389.562
18	      B6	1	576,374.125	579,504.312
19	      B7	1	594,456.062	685,361.375
20	      B8	1	563,377.500	639,685.000
21	      B9	1	587,921.125	684,810.875
22	      B10	1	564,635.875	679,814.000
23	      B11	1	532,301.438	659,253.438
24	      B12	1	502,197.562	628,768.938
25	      C1	1	470,782.094	510,106.719
26	      C2	1	495,959.062	528,543.188
27	      C3	1	523,880.781	533,653.375
28	      C4	1	571,334.750	582,059.625
29	      C5	1	603,862.438	605,589.562
30	      C6	1	572,204.312	566,224.500
31	      C7	1	598,742.688	674,035.562
32	      C8	1	643,690.062	734,061.750
33	      C9	1	613,135.000	699,914.750
34	      C10	1	594,410.188	703,478.875
35	      C11	1	573,617.938	703,926.625
36	      C12	1	531,058.125	669,041.750
37	      D1	1	465,614.219	499,139.750
38	      D2	1	482,672.531	509,631.469
39	      D3	1	505,403.594	514,535.719
40	      D4	1	553,415.062	560,324.438
41	      D5	1	566,209.750	564,914.625
42	      D6	1	595,279.500	583,854.812
43	      D7	1	620,008.688	701,705.562
44	      D8	1	623,315.250	711,166.875
45	      D9	1	577,802.500	652,479.125
46	      D10	1	598,185.188	709,231.250
47	      D11	1	556,873.375	671,835.188
48	      D12	1	518,935.438	642,549.125
49	      E1	1	465,322.500	497,357.156
50	      E2	1	500,849.344	519,030.281
51	      E3	1	549,262.312	561,186.625
52	      E4	1	550,391.188	546,090.250
53	      E5	1	564,698.562	561,974.750
54	      E6	1	610,943.188	602,546.938
55	      E7	1	579,239.000	655,758.438
56	      E8	1	586,459.188	661,633.250
57	      E9	1	598,192.500	687,278.875
58	      E10	1	595,770.250	699,632.750
59	      E11	1	550,441.375	677,237.250
60	      E12	1	509,611.469	632,289.688
61	      F1	1	442,053.312	472,897.875
62	      F2	1	454,506.156	473,073.375
63	      F3	1	505,169.906	511,272.125
64	      F4	1	525,530.750	532,093.750
65	      F5	1	583,609.062	594,458.625
66	      F6	1	588,405.875	586,746.438
67	      F7	1	555,632.562	625,556.375
68	      F8	1	555,133.000	640,382.562
69	      F9	1	567,451.000	661,278.500
70	      F10	1	535,891.000	637,928.438
71	      F11	1	506,834.125	614,974.500
72	      F12	1	482,516.094	598,950.188
73	      G1	1	423,672.000	461,198.188
74	      G2	1	467,848.500	493,001.906
75	      G3	1	489,831.094	500,268.406
76	      G4	1	524,355.188	542,728.062
77	      G5	1	535,140.000	538,888.812
78	      G6	1	534,685.000	540,051.750
79	      G7	1	524,129.188	600,805.250
80	      G8	1	539,157.188	620,670.875
81	      G9	1	516,916.719	608,005.125
82	      G10	1	539,347.438	651,517.625
83	      G11	1	486,973.250	595,158.125
84	      G12	1	459,476.031	584,469.250
85	      H1	1	385,853.625	433,201.375
86	      H2	1	424,407.656	456,136.250
87	      H3	1	458,463.625	477,343.125
88	      H4	1	474,014.781	505,620.281
89	      H5	1	494,613.219	510,428.938
90	      H6	1	487,737.875	504,630.969
91	      H7	1	490,976.312	585,132.875
92	      H8	1	516,593.469	615,413.812
93	      H9	1	495,635.719	594,994.500
94	      H10	1	479,974.938	596,238.625
95	      H11	1	442,782.656	561,630.562
96	      H12	1	428,339.812	551,232.250
1	      A1	2	457,439.344	521,627.219
2	      A2	2	487,683.875	526,375.125
3	      A3	2	500,350.031	543,643.688
4	      A4	2	542,555.375	588,732.625
5	      A5	2	547,315.750	577,069.188
6	      A6	2	567,457.125	593,145.500
7	      A7	2	595,181.500	709,056.250
