pcr_16S_plate,pos,excite_emiss,conc_ngml,conc_ngul,qubit
Plate,Samples,E/E,Conc (ng/ml),Conc (ng/ul),Qubit check
2,D11,67,12.95957903204183,2.5919158064083661,NA
2,D12,8,-0.22360012512848018,-4.4720025025696039E-2,NA
2,E1,138,28.824082763551864,5.7648165527103732,NA
2,E2,155,32.622625910533138,6.5245251821066272,NA
2,E3,96,19.43944675336283,3.887889350672566,NA
2,E4,118,24.355208472985659,4.8710416945971318,NA
2,E5,54,10.054810743173794,2.0109621486347589,NA
2,E6,134,27.930307905438625,5.5860615810877245,NA
2,E7,120,24.802095902042279,4.9604191804084552,NA
2,E8,98,19.88633418241945,3.9772668364838899,NA
2,E9,99,20.109777896947762,4.0219555793895525,NA
2,E10,124,25.695870760155522,5.1391741520311038,NA
2,E11,27,4.021830450909416,0.80436609018188321,NA
2,E12,9,-1.5641060016984964E-4,-3.1282120033969929E-5,9.56
2,F1,90,18.098784466192967,3.6197568932385931,NA
2,F2,152,31.95229476694821,6.3904589533896425,NA
2,F3,95,19.216003038834522,3.8432006077669043,NA
2,F4,130,27.036533047325381,5.4073066094650759,NA
2,F5,48,8.7141484560039331,1.7428296912007863,NA
2,F6,90,18.098784466192967,3.6197568932385931,NA
2,F7,99,20.109777896947762,4.0219555793895525,NA
2,F8,101,20.556665326004381,4.1113330652008759,NA
2,F9,87,17.428453322608039,3.4856906645216075,NA
2,F10,106,21.673883898645933,4.3347767797291867,NA
2,F11,7,-0.44704383965679051,-8.9408767931358102E-2,2.6
2,F12,112,23.014546185815796,4.6029092371631597,NA
2,G1,131,27.259976761853693,5.451995352370739,NA
2,G2,142,29.717857621665107,5.9435715243330218,NA
2,G3,82,16.311234749966488,3.262246949993298,NA
2,G4,117,24.131764758457347,4.8263529516914687,NA
2,G5,36,6.0328238816642088,1.2065647763328418,NA
2,G6,173,36.644612772042727,7.3289225544085461,NA
2,G7,130,27.036533047325381,5.4073066094650759,NA
2,G8,131,27.259976761853693,5.451995352370739,NA
2,G9,77,15.194016177324935,3.0388032354649872,NA
2,G10,115,23.684877329400727,4.7369754658801462,NA
2,G11,41,7.150042454305761,1.4300084908611521,NA
2,G12,134,27.930307905438625,5.5860615810877245,NA
2,H1,103,21.003552755061005,4.2007105510122011,NA
2,H2,100,20.333221611476073,4.0666443222952147,NA
2,H3,91,18.322228180721279,3.6644456361442557,NA
2,H4,127,26.36620190374045,5.2732403807480903,NA
2,H5,33,5.3624927380792782,1.0724985476158557,NA
2,H6,34,5.5859364526075881,1.1171872905215177,TOO LOW
2,H7,100,20.333221611476073,4.0666443222952147,NA
2,H8,103,21.003552755061005,4.2007105510122011,NA
2,H9,52,9.6079233141171745,1.9215846628234348,NA
2,H10,109,22.344215042230864,4.4688430084461732,NA
2,H11,31,4.9156053090226575,0.9831210618045314,NA
2,H12,9,-1.5641060016984964E-4,-3.1282120033969929E-5,NA
